control_type,modification,score,coverage,ngram,compress,delta_from_original,ratio_to_original
original,none,0.16,0.48888888888888893,0.033333333333333326,0.0,0.0,1.0
scrambled_anchors,anchors_permuted,0.11805555555555555,0.3527777777777778,0.03055555555555555,0.0,-0.04194444444444445,0.7378472222222222
permuted_seam,seam_at_74,0.16,0.48888888888888893,0.033333333333333326,0.0,0.0,1.0
anchor_free,no_anchor_scoring,0.16,0.48888888888888893,0.033333333333333326,0.0,0.0,1.0
random_shuffle,complete_shuffle,0.002777777777777778,0.0,0.006944444444444444,0.0,-0.15722222222222224,0.017361111111111112
