neighbor_type,neighbor_id,original_score,neighbor_score,delta_score,delta_coverage,within_tie
single,single_0,0.24216666666666664,0.23363333333333333,-0.00853333333333331,-0.026666666666666616,True
single,single_1,0.24216666666666664,0.2323,-0.009866666666666635,-0.026666666666666616,True
single,single_2,0.24216666666666664,0.2323,-0.009866666666666635,-0.026666666666666616,True
single,single_3,0.24216666666666664,0.2315,-0.01066666666666663,-0.026666666666666616,True
single,single_4,0.24216666666666664,0.2235,-0.018666666666666637,-0.053333333333333344,True
single,single_5,0.24216666666666664,0.2243,-0.017866666666666642,-0.053333333333333344,True
single,single_6,0.24216666666666664,0.22483333333333333,-0.01733333333333331,-0.053333333333333344,True
single,single_7,0.24216666666666664,0.23363333333333333,-0.00853333333333331,-0.026666666666666616,True
single,single_8,0.24216666666666664,0.23363333333333333,-0.00853333333333331,-0.026666666666666616,True
single,single_9,0.24216666666666664,0.2416333333333333,-0.0005333333333333301,0.0,True
single,single_10,0.24216666666666664,0.23363333333333333,-0.00853333333333331,-0.026666666666666616,True
single,single_11,0.24216666666666664,0.23363333333333333,-0.00853333333333331,-0.026666666666666616,True
single,single_12,0.24216666666666664,0.23363333333333333,-0.00853333333333331,-0.026666666666666616,True
single,single_13,0.24216666666666664,0.24216666666666664,0.0,0.0,True
single,single_14,0.24216666666666664,0.24216666666666664,0.0,0.0,True
single,single_15,0.24216666666666664,0.24216666666666664,0.0,0.0,True
single,single_16,0.24216666666666664,0.24216666666666664,0.0,0.0,True
single,single_17,0.24216666666666664,0.23416666666666666,-0.00799999999999998,-0.026666666666666616,True
single,single_18,0.24216666666666664,0.23416666666666666,-0.00799999999999998,-0.026666666666666616,True
single,single_19,0.24216666666666664,0.23416666666666666,-0.00799999999999998,-0.026666666666666616,True
single,single_20,0.24216666666666664,0.2258666666666667,-0.016299999999999953,-0.05166666666666653,True
single,single_21,0.24216666666666664,0.24216666666666664,0.0,0.0,True
single,single_22,0.24216666666666664,0.24269999999999997,0.0005333333333333301,0.0,True
single,single_23,0.24216666666666664,0.24216666666666664,0.0,0.0,True
single,single_24,0.24216666666666664,0.24216666666666664,0.0,0.0,True
single,single_25,0.24216666666666664,0.24216666666666664,0.0,0.0,True
single,single_26,0.24216666666666664,0.24216666666666664,0.0,0.0,True
single,single_27,0.24216666666666664,0.24216666666666664,0.0,0.0,True
single,single_28,0.24216666666666664,0.23283333333333334,-0.009333333333333305,-0.026666666666666616,True
single,single_29,0.24216666666666664,0.2243,-0.017866666666666642,-0.053333333333333344,True
single,single_30,0.24216666666666664,0.2243,-0.017866666666666642,-0.053333333333333344,True
single,single_31,0.24216666666666664,0.22483333333333333,-0.01733333333333331,-0.053333333333333344,True
single,single_32,0.24216666666666664,0.24216666666666664,0.0,0.0,True
single,single_33,0.24216666666666664,0.24216666666666664,0.0,0.0,True
single,single_34,0.24216666666666664,0.24216666666666664,0.0,0.0,True
single,single_35,0.24216666666666664,0.24216666666666664,0.0,0.0,True
single,single_36,0.24216666666666664,0.2347,-0.007466666666666649,-0.026666666666666616,True
single,single_37,0.24216666666666664,0.24269999999999997,0.0005333333333333301,0.0,True
single,single_38,0.24216666666666664,0.24216666666666664,0.0,0.0,True
single,single_39,0.24216666666666664,0.2582,0.016033333333333344,0.05166666666666675,True
single,single_40,0.24216666666666664,0.2737,0.03153333333333336,0.10333333333333339,False
