side,row,col,char
LEFT,9,5,E
LEFT,9,6,Z
LEFT,9,7,?
LEFT,9,8,F
LEFT,9,9,K
LEFT,9,10,Z
LEFT,9,11,B
LEFT,9,12,S
LEFT,9,13,F
LEFT,9,14,D
LEFT,9,15,Q
LEFT,9,16,V
LEFT,9,17,G
LEFT,9,18,O
LEFT,9,19,G
LEFT,9,20,I
LEFT,9,21,P
LEFT,9,22,U
LEFT,9,23,F
LEFT,9,24,X
LEFT,9,25,H
LEFT,9,26,H
LEFT,9,27,D
LEFT,9,28,R
LEFT,9,29,K
LEFT,9,30,F
LEFT,10,0,F
LEFT,10,1,H
LEFT,10,2,Q
LEFT,10,3,N
LEFT,10,4,T
LEFT,10,5,G
LEFT,10,6,P
LEFT,10,7,U
LEFT,10,8,A
LEFT,10,9,E
LEFT,10,10,C
LEFT,10,11,N
LEFT,10,12,U
LEFT,10,13,V
LEFT,10,14,P
LEFT,10,15,D
LEFT,10,16,J
LEFT,10,17,M
LEFT,10,18,Q
LEFT,10,19,C
LEFT,10,20,L
LEFT,10,21,Q
LEFT,10,22,U
LEFT,10,23,M
LEFT,10,24,U
LEFT,10,25,N
LEFT,10,26,E
LEFT,10,27,D
LEFT,10,28,F
LEFT,10,29,Q
LEFT,11,0,E
LEFT,11,1,L
LEFT,11,2,Z
LEFT,11,3,Z
LEFT,11,4,V
LEFT,11,5,R
LEFT,11,6,R
LEFT,11,7,G
LEFT,11,8,K
LEFT,11,9,F
LEFT,11,10,F
LEFT,11,11,V
LEFT,11,12,O
LEFT,11,13,E
LEFT,11,14,E
LEFT,11,15,X
LEFT,11,16,B
LEFT,11,17,D
LEFT,11,18,M
LEFT,11,19,V
LEFT,11,20,P
LEFT,11,21,N
LEFT,11,22,F
LEFT,11,23,Q
LEFT,11,24,X
LEFT,11,25,E
LEFT,11,26,Z
LEFT,11,27,L
LEFT,11,28,G
LEFT,11,29,R
LEFT,11,30,E
LEFT,12,0,D
LEFT,12,1,N
LEFT,12,2,Q
LEFT,12,3,F
LEFT,12,4,M
LEFT,12,5,P
LEFT,12,6,N
LEFT,12,7,Z
LEFT,12,8,G
LEFT,12,9,L
LEFT,12,10,F
LEFT,12,11,L
LEFT,12,12,P
LEFT,12,13,M
LEFT,12,14,R
LEFT,12,15,J
LEFT,12,16,Q
LEFT,12,17,Y
LEFT,12,18,A
LEFT,12,19,L
LEFT,12,20,M
LEFT,12,21,G
LEFT,12,22,N
LEFT,12,23,U
LEFT,12,24,V
LEFT,12,25,P
LEFT,12,26,D
LEFT,12,27,X
LEFT,12,28,V
LEFT,12,29,K
LEFT,12,30,P
LEFT,13,0,D
LEFT,13,1,Q
LEFT,13,2,U
LEFT,13,3,M
LEFT,13,4,E
LEFT,13,5,B
LEFT,13,6,E
LEFT,13,7,D
LEFT,13,8,M
LEFT,13,9,H
LEFT,13,10,D
LEFT,13,11,A
LEFT,13,12,F
LEFT,13,13,M
LEFT,13,14,J
LEFT,13,15,G
LEFT,13,16,Z
LEFT,13,17,N
LEFT,13,18,U
LEFT,13,19,P
LEFT,13,20,L
LEFT,13,21,G
LEFT,13,22,E
LEFT,13,23,W
LEFT,13,24,J
LEFT,13,25,L
LEFT,13,26,L
LEFT,13,27,A
LEFT,13,28,E
LEFT,13,29,T
LEFT,13,30,G
LEFT,14,0,E
LEFT,14,1,N
LEFT,14,2,D
LEFT,14,3,Y
LEFT,14,4,A
LEFT,14,5,H
LEFT,14,6,R
LEFT,14,7,O
LEFT,14,8,H
LEFT,14,9,N
LEFT,14,10,L
LEFT,14,11,S
LEFT,14,12,R
LEFT,14,13,H
LEFT,14,14,E
LEFT,14,15,O
LEFT,14,16,C
LEFT,14,17,P
LEFT,14,18,T
