angle,M,score,p_raw,overlay_sample,size_masked,p_adj,pass
0,15,-8.0,1.0,,0,1.0,False
2,15,-8.0,1.0,,0,1.0,False
4,15,-8.0,1.0,,0,1.0,False
6,15,-8.0,1.0,,0,1.0,False
8,15,-8.0,1.0,,0,1.0,False
10,15,-8.0,1.0,,0,1.0,False
12,15,-8.0,1.0,,0,1.0,False
14,15,-8.0,1.0,,0,1.0,False
16,15,-8.0,1.0,,0,1.0,False
18,15,-8.0,1.0,,0,1.0,False
