label,n,skip,ic_obs,rep2_obs,rep3_obs,kas3_obs,best_stat,best_obs,p_raw,p_adj
scan_angle294_M15,8,,0.03571428571428571,0.0,0.0,0.0,ic,0.03571428571428571,0.7802197802197802,1.0
scan_angle296_M15,7,,0.09523809523809523,0.0,0.0,0.0,ic,0.09523809523809523,0.23876123876123875,1.0
scan_angle98_M15,15,,0.02857142857142857,0.0,0.0,0.0,ic,0.02857142857142857,0.8771228771228772,1.0
scan_angle298_M15,5,,0.1,0.0,0.0,0.0,ic,0.1,0.3856143856143856,1.0
scan_angle96_M15,15,,0.047619047619047616,0.0,0.0,0.0,ic,0.047619047619047616,0.5274725274725275,1.0
scan_angle92_M15,14,,0.06593406593406594,0.0,0.0,0.0,ic,0.06593406593406594,0.23676323676323677,1.0
scan_angle62_M15,9,,0.05555555555555555,0.0,0.0,0.0,ic,0.05555555555555555,0.4725274725274725,1.0
scan_angle64_M15,11,,0.07272727272727272,0.0,0.0,0.0,ic,0.07272727272727272,0.24475524475524477,1.0
scan_angle66_M15,10,,0.06666666666666667,0.0,0.0,0.0,ic,0.06666666666666667,0.3276723276723277,1.0
scan_angle68_M15,7,,0.047619047619047616,0.0,0.0,0.0,ic,0.047619047619047616,0.6713286713286714,1.0
scan_angle70_M15,6,,0.06666666666666667,0.0,0.0,0.0,ic,0.06666666666666667,0.5354645354645354,1.0
scan_angle72_M15,7,,0.047619047619047616,0.0,0.0,0.0,ic,0.047619047619047616,0.6513486513486514,1.0
scan_angle74_M15,9,,0.05555555555555555,0.0,0.0,0.0,ic,0.05555555555555555,0.4165834165834166,1.0
scan_angle76_M15,10,,0.044444444444444446,0.0,0.0,0.0,ic,0.044444444444444446,0.5984015984015985,1.0
scan_angle78_M15,10,,0.044444444444444446,0.0,0.0,0.0,ic,0.044444444444444446,0.5924075924075924,1.0
scan_angle80_M15,8,,0.03571428571428571,0.0,0.0,0.0,ic,0.03571428571428571,0.7742257742257742,1.0
scan_angle82_M15,10,,0.044444444444444446,0.0,0.0,0.0,ic,0.044444444444444446,0.6123876123876124,1.0
scan_angle84_M15,13,,0.02564102564102564,0.0,0.0,0.0,ic,0.02564102564102564,0.8971028971028971,1.0
scan_angle86_M15,12,,0.015151515151515152,0.0,0.0,0.0,ic,0.015151515151515152,0.971028971028971,1.0
scan_angle88_M15,13,,0.038461538461538464,0.0,0.0,0.0,ic,0.038461538461538464,0.6893106893106893,1.0
scan_angle90_M15,11,,0.01818181818181818,0.0,0.0,0.0,ic,0.01818181818181818,0.942057942057942,1.0
scan_angle94_M15,15,,0.0761904761904762,0.0,0.0,0.0,ic,0.0761904761904762,0.15284715284715283,1.0
scan_angle300_M15,6,,0.06666666666666667,0.0,0.0,0.0,ic,0.06666666666666667,0.5494505494505495,1.0
scan_angle304_M15,5,,0.1,0.0,0.0,0.0,ic,0.1,0.3986013986013986,1.0
scan_angle306_M15,7,,0.047619047619047616,0.0,0.0,0.0,ic,0.047619047619047616,0.6353646353646354,1.0
scan_angle80_M20,8,,0.03571428571428571,0.0,0.0,0.0,ic,0.03571428571428571,0.7572427572427572,1.0
scan_angle82_M20,10,,0.044444444444444446,0.0,0.0,0.0,ic,0.044444444444444446,0.6143856143856143,1.0
scan_angle84_M20,13,,0.02564102564102564,0.0,0.0,0.0,ic,0.02564102564102564,0.9010989010989011,1.0
scan_angle86_M20,12,,0.015151515151515152,0.0,0.0,0.0,ic,0.015151515151515152,0.9760239760239761,1.0
scan_angle88_M20,13,,0.038461538461538464,0.0,0.0,0.0,ic,0.038461538461538464,0.7002997002997003,1.0
scan_angle90_M20,11,,0.01818181818181818,0.0,0.0,0.0,ic,0.01818181818181818,0.949050949050949,1.0
scan_angle92_M20,14,,0.06593406593406594,0.0,0.0,0.0,ic,0.06593406593406594,0.2517482517482518,1.0
scan_angle94_M20,15,,0.0761904761904762,0.0,0.0,0.0,ic,0.0761904761904762,0.16883116883116883,1.0
scan_angle96_M20,18,,0.06535947712418301,0.0,0.0,0.0,ic,0.06535947712418301,0.2097902097902098,1.0
scan_angle98_M20,20,,0.04736842105263158,0.0,0.0,0.0,ic,0.04736842105263158,0.5134865134865135,1.0
scan_angle100_M20,20,,0.031578947368421054,0.0,0.0,0.0,ic,0.031578947368421054,0.8701298701298701,1.0
scan_angle102_M20,20,,0.02631578947368421,0.0,0.0,0.0,ic,0.02631578947368421,0.938061938061938,1.0
scan_angle104_M20,20,,0.05789473684210526,2.0,0.0,0.0,ic,0.05789473684210526,0.3156843156843157,1.0
scan_angle106_M20,20,,0.06315789473684211,4.0,2.0,1.0,rep3,2.0,0.017982017982017984,1.0
scan_angle108_M20,20,,0.05263157894736842,4.0,2.0,1.0,rep3,2.0,0.01898101898101898,1.0
scan_angle78_M20,10,,0.044444444444444446,0.0,0.0,0.0,ic,0.044444444444444446,0.5984015984015985,1.0
scan_angle76_M20,10,,0.044444444444444446,0.0,0.0,0.0,ic,0.044444444444444446,0.6063936063936064,1.0
scan_angle74_M20,9,,0.05555555555555555,0.0,0.0,0.0,ic,0.05555555555555555,0.4865134865134865,1.0
scan_angle72_M20,7,,0.047619047619047616,0.0,0.0,0.0,ic,0.047619047619047616,0.6673326673326674,1.0
scan_angle308_M15,5,,0.0,0.0,0.0,0.0,ic,0.0,1.0,1.0
scan_angle310_M15,6,,0.0,0.0,0.0,0.0,ic,0.0,1.0,1.0
scan_angle312_M15,7,,0.0,0.0,0.0,0.0,ic,0.0,1.0,1.0
scan_angle314_M15,8,,0.0,0.0,0.0,0.0,ic,0.0,1.0,1.0
scan_angle316_M15,7,,0.0,0.0,0.0,0.0,ic,0.0,1.0,1.0
scan_angle318_M15,7,,0.0,0.0,0.0,0.0,ic,0.0,1.0,1.0
scan_angle324_M15,5,,0.0,0.0,0.0,0.0,ic,0.0,1.0,1.0
scan_angle112_M20,13,,0.11538461538461539,4.0,2.0,1.0,rep3,2.0,0.006993006993006993,1.0
scan_angle328_M15,5,,0.0,0.0,0.0,0.0,ic,0.0,1.0,1.0
scan_angle332_M15,5,,0.0,0.0,0.0,0.0,ic,0.0,1.0,1.0
scan_angle60_M20,7,,0.09523809523809523,0.0,0.0,0.0,ic,0.09523809523809523,0.1968031968031968,1.0
scan_angle62_M20,9,,0.05555555555555555,0.0,0.0,0.0,ic,0.05555555555555555,0.4835164835164835,1.0
scan_angle64_M20,11,,0.07272727272727272,0.0,0.0,0.0,ic,0.07272727272727272,0.2857142857142857,1.0
scan_angle66_M20,10,,0.06666666666666667,0.0,0.0,0.0,ic,0.06666666666666667,0.3246753246753247,1.0
scan_angle68_M20,7,,0.047619047619047616,0.0,0.0,0.0,ic,0.047619047619047616,0.6653346653346653,1.0
scan_angle70_M20,6,,0.06666666666666667,0.0,0.0,0.0,ic,0.06666666666666667,0.5724275724275725,1.0
scan_angle330_M15,5,,0.0,0.0,0.0,0.0,ic,0.0,1.0,1.0
scan_angle332_M24,5,,0.0,0.0,0.0,0.0,ic,0.0,1.0,1.0
