label,seed_u64,weights_sha256,route_id,t2_sha256,classing,encrypts_to_ct,plaintext_97,pt_sha256,coverage,f_words,has_verb,delta_windowed,delta_shuffled,leakage_diff,notes
HEAD_41_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_42_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_43_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_44_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_45_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_46_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_47_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_48_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_49_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_50_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_51_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_52_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_53_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_54_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_55_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_56_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_57_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_58_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_59_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_60_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_61_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_62_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_63_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_64_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_65_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_66_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_67_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_68_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_69_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_70_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_71_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_72_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_73_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_74_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_75_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_76_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_77_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_78_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_79_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_80_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_81_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_82_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_83_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_84_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_85_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
