route_id,family,classing,L,phase,feasible,forced_residues,tail_forced,implied_tail,anchor_collisions,illegal_passthrough
GRID_W10_NW,beaufort,single_key,20,0,False,13,False,,11,False
GRID_W10_NW,beaufort,single_key,20,1,False,13,False,,11,False
GRID_W10_NW,beaufort,single_key,20,2,False,13,False,,11,False
GRID_W10_NW,beaufort,single_key,20,3,False,13,False,,11,False
GRID_W10_NW,beaufort,single_key,20,4,False,13,False,,11,False
GRID_W10_NW,beaufort,single_key,20,5,False,13,False,,11,False
GRID_W10_NW,beaufort,single_key,20,6,False,13,False,,11,False
GRID_W10_NW,beaufort,single_key,20,7,False,13,False,,11,False
GRID_W10_NW,beaufort,single_key,20,8,False,13,False,,11,False
GRID_W10_NW,beaufort,single_key,20,9,False,13,False,,11,False
GRID_W10_NW,beaufort,single_key,20,10,False,13,False,,11,False
GRID_W10_NW,beaufort,single_key,20,11,False,13,False,,11,False
GRID_W10_NW,beaufort,single_key,20,12,False,13,False,,11,False
GRID_W10_NW,beaufort,single_key,20,13,False,13,False,,11,False
GRID_W10_NW,beaufort,single_key,20,14,False,13,False,,11,False
GRID_W10_NW,beaufort,single_key,20,15,False,13,False,,11,False
GRID_W10_NW,beaufort,single_key,20,16,False,13,False,,11,False
GRID_W10_NW,beaufort,single_key,20,17,False,13,False,,11,False
GRID_W10_NW,beaufort,single_key,20,18,False,13,False,,11,False
GRID_W10_NW,beaufort,single_key,20,19,False,13,False,,11,False
GRID_W10_NW,beaufort,single_key,21,0,False,13,False,,11,False
GRID_W10_NW,beaufort,single_key,21,1,False,13,False,,11,False
GRID_W10_NW,beaufort,single_key,21,2,False,13,False,,11,False
GRID_W10_NW,beaufort,single_key,21,3,False,13,False,,11,False
GRID_W10_NW,beaufort,single_key,21,4,False,13,False,,11,False
GRID_W10_NW,beaufort,single_key,21,5,False,13,False,,11,False
GRID_W10_NW,beaufort,single_key,21,6,False,13,False,,11,False
GRID_W10_NW,beaufort,single_key,21,7,False,13,False,,11,False
GRID_W10_NW,beaufort,single_key,21,8,False,13,False,,11,False
GRID_W10_NW,beaufort,single_key,21,9,False,13,False,,11,False
GRID_W10_NW,beaufort,single_key,21,10,False,13,False,,11,False
GRID_W10_NW,beaufort,single_key,21,11,False,13,False,,11,False
GRID_W10_NW,beaufort,single_key,21,12,False,13,False,,11,False
GRID_W10_NW,beaufort,single_key,21,13,False,13,False,,11,False
GRID_W10_NW,beaufort,single_key,21,14,False,13,False,,11,False
GRID_W10_NW,beaufort,single_key,21,15,False,13,False,,11,False
GRID_W10_NW,beaufort,single_key,21,16,False,13,False,,11,False
GRID_W10_NW,beaufort,single_key,21,17,False,13,False,,11,False
GRID_W10_NW,beaufort,single_key,21,18,False,13,False,,11,False
GRID_W10_NW,beaufort,single_key,21,19,False,13,False,,11,False
GRID_W10_NW,beaufort,single_key,21,20,False,13,False,,11,False
GRID_W10_NW,beaufort,single_key,22,0,False,15,False,,9,False
GRID_W10_NW,beaufort,single_key,22,1,False,15,False,,9,False
GRID_W10_NW,beaufort,single_key,22,2,False,15,False,,9,False
GRID_W10_NW,beaufort,single_key,22,3,False,15,False,,9,False
GRID_W10_NW,beaufort,single_key,22,4,False,15,False,,9,False
GRID_W10_NW,beaufort,single_key,22,5,False,15,False,,9,False
GRID_W10_NW,beaufort,single_key,22,6,False,15,False,,9,False
GRID_W10_NW,beaufort,single_key,22,7,False,15,False,,9,False
GRID_W10_NW,beaufort,single_key,22,8,False,15,False,,9,False
GRID_W10_NW,beaufort,single_key,22,9,False,15,False,,9,False
GRID_W10_NW,beaufort,single_key,22,10,False,15,False,,9,False
GRID_W10_NW,beaufort,single_key,22,11,False,15,False,,9,False
GRID_W10_NW,beaufort,single_key,22,12,False,15,False,,9,False
GRID_W10_NW,beaufort,single_key,22,13,False,15,False,,9,False
GRID_W10_NW,beaufort,single_key,22,14,False,15,False,,9,False
GRID_W10_NW,beaufort,single_key,22,15,False,15,False,,9,False
GRID_W10_NW,beaufort,single_key,22,16,False,15,False,,9,False
GRID_W10_NW,beaufort,single_key,22,17,False,15,False,,9,False
GRID_W10_NW,beaufort,single_key,22,18,False,15,False,,9,False
GRID_W10_NW,beaufort,single_key,22,19,False,15,False,,9,False
GRID_W10_NW,beaufort,single_key,22,20,False,15,False,,9,False
GRID_W10_NW,beaufort,single_key,22,21,False,15,False,,9,False
GRID_W14_ROWS,beaufort,single_key,20,0,False,13,False,,11,False
GRID_W14_ROWS,beaufort,single_key,20,1,False,13,False,,11,False
GRID_W14_ROWS,beaufort,single_key,20,2,False,13,False,,11,False
GRID_W14_ROWS,beaufort,single_key,20,3,False,13,False,,11,False
GRID_W14_ROWS,beaufort,single_key,20,4,False,13,False,,11,False
GRID_W14_ROWS,beaufort,single_key,20,5,False,13,False,,11,False
GRID_W14_ROWS,beaufort,single_key,20,6,False,13,False,,11,False
GRID_W14_ROWS,beaufort,single_key,20,7,False,13,False,,11,False
GRID_W14_ROWS,beaufort,single_key,20,8,False,13,False,,11,False
GRID_W14_ROWS,beaufort,single_key,20,9,False,13,False,,11,False
GRID_W14_ROWS,beaufort,single_key,20,10,False,13,False,,11,False
GRID_W14_ROWS,beaufort,single_key,20,11,False,13,False,,11,False
GRID_W14_ROWS,beaufort,single_key,20,12,False,13,False,,11,False
