pool_tick,away_tick,dist_m
1,229,80.20653596696468
2,229,79.14800939354066
3,229,78.2203411960086
4,229,79.23894354526693
5,229,80.41531910338975
6,229,81.71372131129509
7,229,82.42958050135886
8,229,80.74299388126502
9,229,79.16371473535081
10,229,77.69851019041485
11,229,76.35377086850393
12,229,75.13603865928788
13,229,75.30516241905332
14,229,76.32184998996028
15,229,77.47156131865421
16,229,77.16444287228411
17,229,75.82421007811423
18,229,74.55008861235513
19,229,73.0634887917351
20,229,71.93195465389496
21,229,71.39496202800306
22,229,71.12509409188856
23,229,70.56288004057092
24,229,69.8029453145066
25,229,69.11133922787201
26,229,68.40677412347407
27,229,68.10638218537231
28,229,67.68546136364884
29,229,67.24945701446221
30,229,66.88834218531657
31,229,66.30441560755965
32,229,65.57715056298193
33,229,65.24886047503051
34,229,64.9845536338444
35,229,64.62207377591653
36,229,63.894271810076994
37,229,63.34745943011448
38,229,62.92919376013013
39,229,62.35257280874623
40,229,61.710749630352076
41,229,61.02580206945256
42,229,60.548401764043284
43,229,59.52832209536901
44,229,58.81191873107015
45,229,58.1544352772856
46,229,57.813059894542846
47,229,57.39982717230079
48,229,57.13810402297227
49,229,57.06121027677208
50,229,57.18277395868445
51,229,56.94752205574884
52,229,56.40877026819499
53,229,55.904609125276956
54,229,55.614465138217405
55,229,55.216628835976586
56,229,54.62968038502514
57,229,54.341117547764874
58,229,54.02351375327228
59,229,53.79358540699811
60,229,53.21850357169018
61,229,52.283961564231156
62,229,52.158967966592286
63,230,52.10337132364853
64,230,51.84311011301308
65,230,51.397782645363215
66,229,50.96149792539462
67,229,50.41884281268264
68,229,50.14566234461362
69,229,49.69840354578807
70,229,48.98908827779916
71,229,48.78742935521404
72,229,48.87331094216965
73,229,48.432016469893135
74,229,48.21350928712823
75,229,47.87109450545287
76,229,47.590589216041444
77,229,47.70294854534676
78,229,47.65762651139899
79,229,46.915552742560756
80,229,46.301663685876335
81,229,45.28091771629634
82,229,45.506099110998306
83,229,45.09938431131848
84,229,44.65751511907039
85,229,44.467095400194516
86,230,44.425809018069664
87,229,44.03026617657449
88,229,43.518571774358584
89,229,43.290405215243716
90,229,43.429928864321205
91,229,43.07293180502112
92,229,42.77834930440865
93,229,42.44503272174496
94,229,41.51321360374309
95,229,41.254514583133805
96,230,40.77209565732426
97,230,40.572822728644354
98,229,40.4761411923123
99,229,40.46593713767173
100,229,39.831429556193434
101,230,39.61262542586643
102,229,39.106823146607034
103,229,38.86217914798397
104,229,38.591087450083606
105,229,38.1428564389192
106,229,37.84003668259321
107,229,37.4447483542085
108,230,37.18723599355026
109,230,37.12301878363342
110,230,36.89229781119631
111,229,36.901012543966864
112,230,35.918024242572145
113,230,35.71750433582952
114,230,35.42018632150317
115,230,35.14933917572277
116,229,35.01147104107453
117,230,35.069660812160706
118,230,34.09307250278273
119,229,34.09097069855887
120,229,34.17305266683092
121,229,34.58441053148079
122,229,35.05414607261173
123,229,34.16713046496589
124,229,33.01807540090731
125,229,33.21902386735649
126,229,32.317475601599824
127,229,31.329718387818296
128,229,30.861384547359503
129,229,30.79824146830465
130,229,31.102560230791287
131,229,31.763047654153088
132,229,31.957408757751306
133,229,31.276457040240345
134,229,29.942040324266483
135,229,29.664448968082986
136,229,29.779257122030426
137,229,29.070109774302534
138,229,28.740586811511
139,230,28.622107226757432
140,230,28.70167496018307
141,230,29.172419705948286
142,231,29.35626550125203
143,230,28.522583081656542
144,230,28.06829984680226
145,229,27.83152243787608
146,229,27.431838352906645
147,229,27.663293236525544
148,229,26.982492991938308
149,229,26.692666124237196
150,230,26.560983581373637
151,230,25.74207616432676
152,229,24.937849420308883
153,229,25.008186760539036
154,229,24.527808676887545
155,230,24.263004555495588
156,230,24.133161479797874
157,230,24.23140270867537
158,229,24.529257525249314
159,229,23.56248114206142
160,229,23.029202726321206
161,229,23.22094433609452
162,229,24.20403415073611
163,229,24.1119275662482
164,229,22.689223097541266
165,229,21.581693163883134
166,229,21.439936978685363
167,230,20.741519495446806
168,229,19.82381659948457
169,229,20.37174209757231
170,229,19.584593222990364
171,230,18.722975947482276
172,230,19.05912273610724
173,229,18.780583378585447
174,229,19.039264514681232
175,229,19.36051542521531
176,229,20.259466762479214
177,229,18.27247890462594
178,229,16.73322612797664
179,229,16.98884010931882
180,229,18.408574132995742
181,229,17.58557254598212
182,229,16.538929565724622
183,229,16.05161024009741
184,229,15.799076034059713
185,229,16.255609274954907
186,229,15.94830727099274
187,229,14.94738531683719
188,229,14.34010910174675
189,229,14.007963263801056
190,230,13.561912933653572
191,230,13.874734023396629
192,231,14.392368010859093
193,231,13.70835227516422
194,230,12.541573109462785
195,230,11.827985511489263
196,229,11.822043596603761
197,229,12.39920245257734
198,229,13.798662356185107
199,229,12.476780173586453
200,229,11.232919692137035
201,230,10.813569431968334
202,230,9.822039033215045
203,230,10.001786905848371
204,230,8.743792300255073
205,230,8.84648614761816
206,231,9.297170195279854
207,232,9.773294672729353
208,233,10.280895831103436
209,232,9.045489821452456
210,231,7.882001530702722
211,230,6.735793091388719
212,230,6.525782580656511
213,229,6.364354139266605
214,229,7.993926145518235
215,242,9.075069776591254
216,229,6.607994754840531
217,229,4.189719797313419
218,230,3.776954631710573
219,230,3.711843071844498
220,230,3.449402804834486
221,230,3.325057116802651
222,229,3.363110307438637
223,229,3.826398758624092
224,230,2.870892490150057
225,230,2.6149965506669397
226,229,3.07701355213135
227,229,2.610196933183394
228,229,0.0
