label,ccs,J_content,J_content_lev1,fw_mean_gap,fw_std_gap,fw_cv,chi2_wordlen,js_wordlen,cosine_bigram,cosine_trigram,vc_vc_ratio,vc_vcv_frac,vc_cvc_frac,vc_ccv_frac,has_quirks,quirks_found,quirks_recovered,x_per_100_head,x_per_100_k_mean
runner_GRID_W10_NW_head,-1.9418640330681463,0.0,0.016,3.0,0.0,0.0,0.20955804665240824,0.36577545797981176,0.6314141987926942,0.32527569073166274,0.5416666666666666,0.08333333333333333,0.18055555555555555,0.20833333333333334,False,0,0,0.0,3.555555555555556
winner_GRID_W14_ROWS_head,-1.5516666290584509,0.0,0.023622047244094488,0,0,0,0.1689362116956076,0.32692703224527886,0.6263417661855898,0.3748986398356886,0.7441860465116279,0.0821917808219178,0.136986301369863,0.2054794520547945,False,0,0,0.0,3.555555555555556
