label,route_id,description,tail_75_96,hejoy_guard,seam_tokens,plaintext_sha256
cand_005,GRID_W14_ROWS,Winner,HEJOYOFANANGLEISTHEARC,HEJOY,OFANANGLEISTHEARC,652ee535385e9238
cand_004,GRID_W10_NW,Runner-up,HEJOYOFANANGLEISTHEARC,HEJOY,OFANANGLEISTHEARC,5a961b947db1f171
