subset_size,trials,feasible_found,min_undetermined,mean_undetermined
10,10,False,63,63.0
11,10,False,62,62.0
12,10,False,61,61.0
13,10,False,60,60.0
14,10,False,59,59.0
15,10,False,58,58.0
16,10,False,57,57.0
17,10,False,56,56.0
18,10,False,55,55.0
19,10,False,54,54.0
20,10,False,53,53.0
21,10,False,52,52.0
22,10,False,51,51.0
