global_tick,x,y,z
437,-7.500299999999998,90.2737,79.95270000000001
438,-5.530799999999998,90.7428,80.5779
439,-3.5094999999999987,91.0678,77.9041
440,-1.2534999999999987,91.3031,79.5724
441,1.0448000000000013,91.5222,82.024
442,2.5480000000000014,91.7522,81.2572
443,3.4404000000000012,91.99040000000001,78.0188
444,2.5626000000000015,92.186,77.09270000000001
445,-0.3340999999999987,92.3328,78.8039
446,-3.2308999999999988,92.4796,80.515
447,-5.750099999999999,92.6234,82.06920000000001
448,-2.4921999999999986,92.7209,81.2222
449,0.7657000000000014,92.8184,80.37530000000001
450,4.023500000000001,92.9158,79.5283
451,7.281400000000001,93.0133,78.68130000000001
452,10.539200000000001,93.1108,77.8343
453,8.446100000000001,93.31660000000001,79.8936
454,5.966800000000001,93.53020000000001,82.16250000000001
455,4.664500000000001,93.75540000000001,81.12230000000001
456,4.174400000000001,93.9886,77.7987
