global_tick,s,x,y,z
136,362.6451,-21.4442,-6.4799,82.9593
137,366.0127,-21.4399,-6.3954,79.5928
138,369.3802,-21.4355,-6.3109,76.2263
139,372.7478,-21.4311,-6.2263,72.8598
140,376.1154,-21.4268,-6.1418,69.4932
141,379.4829,-21.4224,-6.0573,66.1267
142,380.6834,-21.4218,-5.949,64.9311
143,384.051,-21.4292,-5.7911,68.295
144,387.4186,-21.4366,-5.6331,71.6588
145,390.7706,-21.4419,-5.3378,74.9978
146,394.1198,-21.4612,-4.8007,78.3035
147,397.4873,-21.4928,-4.5042,81.6579
148,400.7605,-21.4965,-4.3216,78.3897
149,404.1281,-21.4999,-4.1407,75.027
150,406.8601,-20.7769,-3.8104,72.4132
151,408.4145,-21.2427,-3.0826,73.7052
152,411.3618,-21.6395,-2.3021,76.5195
153,414.7294,-21.6574,-2.0267,79.8758
154,417.4474,-21.676,-1.8412,77.1641
155,420.815,-21.6947,-1.6653,73.8012
156,423.7842,-21.6622,-1.4867,70.8376
157,427.1518,-20.8327,-1.2661,74.0939
158,430.5193,-20.0031,-1.0455,77.3502
159,432.5616,-21.2574,-0.6432,75.7895
160,434.1177,-21.8634,-0.2848,77.1773
161,437.441,-21.7407,0.047,80.4817
162,440.7088,-20.2319,0.5252,83.3406
163,444.0763,-22.0558,0.9744,86.1356
164,447.0987,-22.2064,1.2399,83.1286
165,450.4663,-22.2559,1.4944,79.7711
166,453.8293,-21.1528,1.8002,76.6089
167,456.0084,-21.5599,2.2799,74.5226
168,457.7213,-22.0066,3.1581,75.9238
169,461.0889,-20.9375,3.4476,79.104
170,463.2466,-21.5963,3.7043,77.0655
171,466.6142,-22.6374,3.9539,73.8726
172,468.7125,-21.0749,4.5139,75.1563
173,472.0801,-21.8006,4.6876,78.4402
174,475.4476,-22.5263,4.8613,81.724
175,478.5,-23.15,5.5228,84.6379
176,480.5544,-21.6008,6.0423,85.8831
177,483.922,-22.4378,6.2394,82.6272
178,487.2896,-23.2748,6.4365,79.3712
179,488.5051,-22.9079,6.6786,80.5045
180,491.8726,-21.9679,6.9422,83.7274
181,493.8094,-21.8086,7.149,81.8083
182,497.1769,-21.8684,7.3399,78.4467
183,499.4923,-22.0631,7.5338,76.1477
184,502.8599,-22.961,7.7435,79.3866
185,506.2274,-23.8589,7.9533,82.6254
186,508.1638,-22.6642,8.3914,81.1659
187,510.2055,-24.4043,8.9942,82.0476
188,513.5166,-23.063,9.3882,79.0461
189,516.8165,-22.7052,9.5888,75.7718
190,520.184,-22.755,9.7129,72.4069
191,523.5516,-22.8047,9.8371,69.042
192,526.9192,-22.8545,9.9613,65.6771
193,528.2527,-23.4002,10.1225,66.883
194,531.6202,-24.1704,10.3003,70.1565
195,534.9878,-24.9405,10.4781,73.43
196,538.3477,-25.1072,10.6446,76.7816
197,541.7152,-25.1893,10.8094,80.1441
198,545.0828,-25.2713,10.9742,83.5067
199,547.401,-25.3451,11.1472,81.1961
200,550.7686,-25.4174,11.3217,77.8338
201,554.1362,-25.4897,11.4962,74.4715
202,555.3066,-25.8671,12.2986,73.7076
203,557.1126,-24.2881,13.0165,73.2047
204,558.7162,-25.5375,13.7727,73.8671
205,560.9286,-24.7902,14.0962,71.81
206,564.2962,-24.8597,14.2285,68.4457
207,567.6637,-24.9292,14.3607,65.0814
208,571.0313,-24.9987,14.493,61.7172
209,574.0482,-25.8157,14.6768,64.6155
210,577.4157,-26.6747,14.8636,67.8663
211,580.7701,-27.3578,15.0837,71.143
212,584.1377,-27.5636,15.3945,74.4898
213,587.5049,-27.7881,15.7722,77.8282
214,590.775,-27.3093,16.1729,81.0382
215,593.2051,-26.2824,16.7106,83.174
216,596.5028,-28.1416,17.3428,80.5248
217,599.701,-28.9881,17.6025,77.4516
218,603.0686,-29.1007,17.7632,74.0898
219,606.4361,-29.2133,17.9239,70.7279
220,606.7101,-29.3273,18.0985,70.9057
221,610.0777,-29.4425,18.2855,74.2661
222,613.4452,-29.5577,18.4725,77.6264
223,615.9503,-27.8082,18.9969,75.9119
224,619.3135,-27.9564,19.3168,72.5673
225,619.9124,-28.1216,19.6006,72.0664
226,623.28,-28.2938,19.8376,75.4212
227,625.7521,-29.4443,20.1885,77.5809
228,628.3622,-31.2278,20.7058,75.7466
