index,nearest_tick_idx,s,u,v,row,relief_mean,relief_energy,centerline_dist,gap_prev,gap_next
0,0,0.0,0.001816,0.961671,4,0.0,0.0,4.879549160259023e-05,0.0,6.7352
1,2,6.7352,0.005111,0.838545,4,0.0,0.0,0.05540253590767277,6.7352,3.264500000000001
2,3,9.9997,0.007167,0.912479,4,0.0,0.0,3.312159656687014,3.264500000000001,3.3674999999999997
3,4,13.3672,0.009615,0.981728,4,0.0,0.0,3.54363126405401,3.3674999999999997,5.327400000000001
4,6,18.6946,0.015261,0.995567,4,0.0,0.0,0.7334836135333976,5.327400000000001,21.147199999999998
5,13,39.8418,0.030163,0.99534,4,0.0,0.0,2.7261919441735913,21.147199999999998,3.367600000000003
6,14,43.2094,0.032471,0.236816,1,0.0,0.0,1.411665157725803,3.367600000000003,7.431199999999997
7,17,50.6406,0.037842,0.071426,1,0.0,0.0,0.9670375943162665,7.431199999999997,11.804700000000004
8,21,62.4453,0.046562,0.967529,4,0.0,0.0,1.4253933040129751,11.804700000000004,7.358099999999993
9,24,69.8034,0.054199,0.236816,1,0.0,0.0,0.24267207720091077,7.358099999999993,7.694200000000009
10,27,77.4976,0.05957,0.110352,1,0.0,0.0,2.0698763154763586,7.694200000000009,6.727399999999989
11,29,84.225,0.064941,0.071426,1,0.0,0.0,1.0477802502815199,6.727399999999989,9.005800000000008
12,32,93.2308,0.070807,0.440918,2,0.0,0.0,2.2691397038040675,9.005800000000008,1.4915999999999912
13,33,94.7224,0.073378,0.989014,4,0.0,0.0,0.96569927371257,1.4915999999999912,14.550600000000003
14,40,109.273,0.089355,0.944824,4,0.0,0.0,0.03856367110377433,14.550600000000003,5.852100000000007
15,42,115.1251,0.092163,0.978027,4,0.0,0.0,0.890372326861069,5.852100000000007,5.2166
16,45,120.3417,0.099359,0.672991,3,0.0,0.0,0.2473293902410262,5.2166,7.24499999999999
17,48,127.5867,0.105957,0.966797,4,0.0,0.0,1.6015645690627087,7.24499999999999,3.3674999999999926
18,49,130.9542,0.108398,0.09375,1,0.0,0.0,1.592615165657109,3.3674999999999926,5.883100000000013
19,52,136.8373,0.115051,0.812852,4,0.0,0.0,0.8673994525453663,5.883100000000013,2.5485999999999933
20,53,139.3859,0.117952,0.763796,4,0.0,0.0,1.8452429653379083,2.5485999999999933,4.118200000000002
21,55,143.5041,0.122192,0.743734,3,0.0,0.0,1.0784633508367274,4.118200000000002,3.36760000000001
22,56,146.8717,0.124512,0.049854,1,0.0,0.0,1.135885377179405,3.36760000000001,18.159599999999983
23,63,165.0313,0.13916,0.994629,4,0.0,0.0,0.90630007600683,18.159599999999983,3.36760000000001
24,64,168.3989,0.141968,0.892334,4,0.0,0.0,1.5486534431563541,3.36760000000001,14.315100000000001
25,70,182.714,0.153954,0.477477,2,0.0,0.0,1.0278468183245948,14.315100000000001,20.952200000000005
26,77,203.6662,0.169189,0.385742,2,0.0,0.0,0.2892761467802023,20.952200000000005,5.269299999999987
27,79,208.9355,0.173828,0.253418,2,0.0,0.0,0.07751358190666041,5.269299999999987,6.3230000000000075
28,81,215.2585,0.179462,0.872934,4,0.0,0.0,0.8139547168639051,6.3230000000000075,5.210399999999993
29,83,220.4689,0.18368,0.91748,4,0.0,0.0,1.4652777549256673,5.210399999999993,6.73520000000002
30,85,227.2041,0.187744,0.67334,3,0.0,0.0,0.6583157907949636,6.73520000000002,2.0634999999999764
31,86,229.2676,0.190004,0.843064,4,0.0,0.0,1.8248900839724636,2.0634999999999764,3.366800000000012
32,87,232.6344,0.192139,0.557129,3,0.12673954942585092,6.825712799004171,1.5426908234578305,3.366800000000012,3.3656000000000006
33,88,236.0,0.194469,0.828458,4,0.0,0.0,1.6388493212861182,3.3656000000000006,8.787700000000001
34,91,244.7877,0.19967,0.83581,4,0.0,0.0,0.37783900020245964,8.787700000000001,6.950500000000005
35,94,251.7382,0.206299,0.214844,1,0.0,0.0,1.030160355571882,6.950500000000005,3.3675999999999817
36,95,255.1058,0.209949,0.656424,3,0.0,0.0,0.6989733976118155,3.3675999999999817,16.49770000000001
37,101,271.6035,0.22345,0.466943,2,0.0,0.0,2.2568428694849327,16.49770000000001,4.638300000000015
38,103,276.2418,0.227513,0.540527,3,0.0,0.0,1.2174682665810976,4.638300000000015,21.13810000000001
39,110,297.3799,0.241455,0.540527,3,0.0,0.0,0.592519020728457,21.13810000000001,6.225099999999998
40,113,303.605,0.249093,0.793886,4,0.0,0.0,1.4091268688269365,6.225099999999998,4.334299999999985
41,115,307.9393,0.252441,0.540527,3,0.0,0.0,1.3476616890573878,4.334299999999985,17.557299999999998
42,121,325.4966,0.265869,0.132324,1,0.0,0.0,0.4552737608439626,17.557299999999998,11.095799999999997
43,125,336.5924,0.275635,0.656689,3,0.0,0.0,0.9560817245429384,11.095799999999997,5.1865999999999985
44,127,341.779,0.279053,0.462305,2,0.0,0.0,0.07300860692411948,5.1865999999999985,3.2228000000000065
45,128,345.0018,0.282227,0.192822,1,0.0,0.0,0.7479708708886966,3.2228000000000065,3.3675999999999817
46,129,348.3694,0.284424,0.523926,3,0.0,0.0,2.095634377703564,3.3675999999999817,7.675100000000043
47,132,356.0445,0.289795,0.440918,2,0.0,0.0,0.5647822074153878,7.675100000000043,3.1772999999999456
48,133,359.2218,0.293709,0.214237,1,0.0,0.0,0.9921912051716646,3.1772999999999456,20.2611
49,140,379.4829,0.308506,0.479492,2,0.0,0.0,2.281314643142849,20.2611,7.935700000000054
50,143,387.4186,0.314941,0.214844,1,0.0,0.0,1.8001380995779208,7.935700000000054,6.701199999999972
51,145,394.1198,0.319824,0.656689,3,0.0,0.0,2.264141342571173,6.701199999999972,10.00830000000002
52,148,404.1281,0.325391,0.71748,3,0.0,0.0,1.3360182212604739,10.00830000000002,2.731999999999971
53,149,406.8601,0.327393,0.994629,4,0.0,0.0,0.7499275153986537,2.731999999999971,1.554399999999987
54,150,408.4145,0.331055,0.154297,1,0.0,0.0,0.42322968248693854,1.554399999999987,9.03290000000004
55,153,417.4474,0.33667,0.214844,1,0.0,0.0,2.200980552199627,9.03290000000004,6.3367999999999824
56,155,423.7842,0.342102,0.656657,3,0.0,0.0,0.2031697656074826,6.3367999999999824,16.924599999999998
57,161,440.7088,0.35498,0.912109,4,0.0,0.0,0.18945639056256822,16.924599999999998,6.3899000000000115
58,163,447.0987,0.358354,0.939209,4,0.0,0.0,2.205614042829114,6.3899000000000115,8.909699999999987
59,166,456.0084,0.365674,0.890137,4,0.0,0.0,0.924663992655711,8.909699999999987,1.7128999999999905
60,167,457.7213,0.368402,0.595703,3,0.0,0.0,1.633988704708206,1.7128999999999905,5.525300000000016
61,169,463.2466,0.371238,0.507324,3,0.0,0.0,2.3849360969856237,5.525300000000016,8.833500000000015
62,172,472.0801,0.378632,0.507324,3,0.0,0.0,2.0160275440491846,8.833500000000015,16.42500000000001
63,178,488.5051,0.39105,0.192808,1,0.0,0.0,1.928266989416403,16.42500000000001,3.36749999999995
64,179,491.8726,0.393311,0.424316,2,0.0,0.0,0.737774059783885,3.36749999999995,7.619700000000023
65,182,499.4923,0.399258,0.595703,3,0.0,0.0,0.5421587631100281,7.619700000000023,3.3675999999999817
66,183,502.8599,0.401564,0.214355,1,0.0,0.0,1.5553043533254114,3.3675999999999817,10.656700000000058
67,187,513.5166,0.410156,0.440918,2,0.0,0.7581787740018415,0.9604567670192095,10.656700000000058,13.402600000000007
68,191,526.9192,0.421021,0.523926,3,0.0,0.0,1.0488690130788474,13.402600000000007,14.795999999999935
69,196,541.7152,0.431396,0.385742,2,0.0,0.0,2.7462071515036897,14.795999999999935,19.21339999999998
70,204,560.9286,0.447998,0.424316,2,0.0,0.0,1.8606510755130823,19.21339999999998,26.57630000000006
71,212,587.5049,0.465088,0.785645,4,0.012354676702381235,1.6852157850297382,1.8605684975805208,26.57630000000006,8.997899999999959
72,215,596.5028,0.471924,0.110352,1,0.0,0.0,1.220266022506563,8.997899999999959,6.565799999999967
73,217,603.0686,0.478027,0.236816,1,0.0,0.0,2.549342807097151,6.565799999999967,3.6415000000000646
74,219,606.7101,0.481934,0.479492,2,0.0,0.0,1.773225403971531,3.6415000000000646,6.7350999999999885
75,221,613.4452,0.485679,0.970017,4,0.0,0.0,0.49573282112443734,6.7350999999999885,14.91700000000003
76,227,628.3622,0.498047,0.994629,4,0.0,0.0,1.6174846699629029,14.91700000000003,16.609299999999962
77,232,644.9715,0.509033,0.968926,4,0.0,0.0,3.1366629031084905,16.609299999999962,3.3676000000000386
78,233,648.3391,0.511694,0.313965,2,0.0,0.0,0.755904624256924,3.3676000000000386,34.242599999999925
79,244,682.5817,0.5354,0.402344,2,0.05497137213175276,2.7674417939333007,2.730819995373182,34.242599999999925,10.418000000000006
80,248,692.9997,0.544434,0.330566,2,0.0,0.0,2.598531300823803,10.418000000000006,1.9732000000000198
81,249,694.9729,0.546457,0.822743,4,0.0,0.0,0.72988735363342,1.9732000000000198,16.331300000000056
82,256,711.3042,0.5625,0.385742,2,0.0,0.0,2.155420941925039,16.331300000000056,8.2183
83,260,719.5225,0.570557,0.253418,2,0.0,0.0,1.1938726702312017,8.2183,16.177299999999946
84,266,735.6998,0.585375,0.67158,3,0.0,0.0,0.8947774839662609,16.177299999999946,10.102700000000027
85,269,745.8025,0.591309,0.110352,1,0.0,0.0,0.5289731318280798,10.102700000000027,2.3256999999999834
86,270,748.1282,0.593661,0.671488,3,0.0,0.0,2.7782660674105717,2.3256999999999834,3.3676000000000386
87,271,751.4958,0.596076,0.641906,3,0.0,0.0,2.4480068587986037,3.3676000000000386,35.563800000000015
88,284,787.0596,0.624023,0.868164,4,0.0,0.0,0.7611013466661453,35.563800000000015,13.788699999999949
89,289,800.8483,0.634229,0.09375,1,0.0,0.0,1.6634929478422815,13.788699999999949,34.51380000000006
90,301,835.3621,0.661621,0.09375,1,0.0,0.0,1.0626254592512743,34.51380000000006,37.101999999999975
91,314,872.4641,0.689941,0.236816,1,0.0,0.0,2.6172229123901545,37.101999999999975,16.498699999999985
92,319,888.9628,0.700195,0.154297,1,0.0,0.0,2.320514635632369,16.498699999999985,65.53959999999995
93,344,954.5024,0.755127,0.890137,4,0.0,0.0,0.9220992735649444,65.53959999999995,19.371399999999994
94,351,973.8738,0.771484,0.989258,4,0.0,0.0,0.05144910698933441,19.371399999999994,14.177800000000047
95,356,988.0516,0.780792,0.110352,1,0.0,0.0,1.767129185885967,14.177800000000047,146.94260000000008
96,410,1134.9942,0.899414,0.027832,1,0.0,0.0,0.5773387295210685,146.94260000000008,0.0
