seed_label,route,length,fixed_score,windowed_score,shuffled_score,delta_windowed,delta_shuffled,pass_deltas
B0008,GRID_6x17,75,1.2511494806284298,1.2511494806284298,1.2511494806284298,0.0,0.0,False
B0008,GRID_9x11,75,-0.055522785773225586,-0.055522785773225586,-0.055522785773225586,0.0,0.0,False
B0008,GRID_10x10,75,0.4209117728778,0.4209117728778,0.4209117728778,0.0,0.0,False
B0008,GRID_11x9,75,0.3482974646558489,0.3482974646558489,0.3482974646558489,0.0,0.0,False
B0008,GRID_14x7,75,0.10293832515463905,0.10293832515463905,0.10293832515463905,0.0,0.0,False
B0008,GRID_17x6,75,0.7164324943060302,0.7164324943060302,0.7164324943060302,0.0,0.0,False
B0008,GRID_21x5,75,0.3431858159162404,0.3431858159162404,0.3431858159162404,0.0,0.0,False
B0008,GRID_25x4,75,-0.1097447905724227,-0.1097447905724227,-0.1097447905724227,0.0,0.0,False
B0008,GRID_33x3,75,-0.23853907473088448,-0.23853907473088448,-0.23853907473088448,0.0,0.0,False
B0008,SPOKE_6x17,75,0.8779028022386401,0.8779028022386401,0.8779028022386401,0.0,0.0,False
B0008,SPOKE_9x11,75,0.18472470498837568,0.18472470498837568,0.18472470498837568,0.0,0.0,False
B0008,SPOKE_10x10,75,1.2449866060213894,1.2449866060213894,1.2449866060213894,0.0,0.0,False
B0008,SPOKE_11x9,75,0.8217228263021297,0.8217228263021297,0.8217228263021297,0.0,0.0,False
B0008,SPOKE_14x7,75,1.0077483122645337,1.0077483122645337,1.0077483122645337,0.0,0.0,False
B0008,SPOKE_17x6,75,0.9556287592001996,0.9556287592001996,0.9556287592001996,0.0,0.0,False
B0008,SPOKE_21x5,75,1.3318846345947346,1.3318846345947346,1.3318846345947346,0.0,0.0,False
B0008,SPOKE_25x4,75,1.8093704191131919,1.8093704191131919,1.8093704191131919,0.0,0.0,False
B0008,SPOKE_33x3,75,2.4463685404269464,2.4463685404269464,2.4463685404269464,0.0,0.0,False
B0008,RAILFENCE_2,75,-0.026907184871254403,-0.026907184871254403,-0.026907184871254403,0.0,0.0,False
B0008,RAILFENCE_3,75,-0.08007796380301982,-0.08007796380301982,-0.08007796380301982,0.0,0.0,False
B0008,RAILFENCE_4,75,-0.2097447905724227,-0.2097447905724227,-0.2097447905724227,0.0,0.0,False
B0008,RAILFENCE_5,75,-0.20463314183281422,-0.20463314183281422,-0.20463314183281422,0.0,0.0,False
B0008,RAILFENCE_7,75,-0.21608634843595362,-0.21608634843595362,-0.21608634843595362,0.0,0.0,False
B0008,RAILFENCE_9,75,0.048716320355441864,0.048716320355441864,0.048716320355441864,0.0,0.0,False
B0008,RAILFENCE_11,75,0.5057073497162818,0.5057073497162818,0.5057073497162818,0.0,0.0,False
B0008,RAILFENCE_13,75,-0.5330085702916829,-0.5330085702916829,-0.5330085702916829,0.0,0.0,False
B0008,RAILFENCE_17,75,0.026263594060511014,0.026263594060511014,0.026263594060511014,0.0,0.0,False
B0008,HL_6x17,75,2.0210023089728226,2.0210023089728226,2.0210023089728226,0.0,0.0,False
B0008,HR_6x17,75,1.9402671550065171,1.9402671550065171,1.9402671550065171,0.0,0.0,False
B0008,HL_10x10,75,1.3043202595601955,1.3043202595601955,1.3043202595601955,0.0,0.0,False
B0008,HR_10x10,75,2.0210023089728226,2.0210023089728226,2.0210023089728226,0.0,0.0,False
B0008,HL_14x7,75,2.0231047607076857,2.0231047607076857,2.0231047607076857,0.0,0.0,False
B0008,HR_14x7,75,1.3043202595601955,1.3043202595601955,1.3043202595601955,0.0,0.0,False
B0008,GRID_10x10_NA1,75,3.1395466376772108,3.1395466376772108,3.1395466376772108,0.0,0.0,False
B0008,GRID_10x10_NA2,75,3.8931096143337127,3.8931096143337127,3.8931096143337127,0.0,0.0,False
