label,seed_u64,route_attempted,lawful,near_cov,near_fw,has_verb,has_true,has_decl_pattern,flint_pass,generic_pass,cadence_pass,context_pass,final_status
HEAD_106_v52,107337,GRID_W14_ROWS,MOCK,0.923,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_110_v52,111337,GRID_W14_ROWS,MOCK,0.921,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_114_v52,115337,GRID_W14_ROWS,MOCK,0.900,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_116_v52,117337,GRID_W14_ROWS,MOCK,0.920,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_117_v52,118337,GRID_W14_ROWS,MOCK,0.907,7,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_122_v52,123337,GRID_W14_ROWS,MOCK,0.903,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_124_v52,125337,GRID_W14_ROWS,MOCK,0.922,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_125_v52,126337,GRID_W14_ROWS,MOCK,0.885,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_127_v52,128337,GRID_W14_ROWS,MOCK,0.914,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_129_v52,130337,GRID_W14_ROWS,MOCK,0.911,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_130_v52,131337,GRID_W14_ROWS,MOCK,0.923,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_131_v52,132337,GRID_W14_ROWS,MOCK,0.896,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_132_v52,133337,GRID_W14_ROWS,MOCK,0.912,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_133_v52,134337,GRID_W14_ROWS,MOCK,0.913,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_135_v52,136337,GRID_W14_ROWS,MOCK,0.899,5,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_136_v52,137337,GRID_W14_ROWS,MOCK,0.893,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_140_v52,141337,GRID_W14_ROWS,MOCK,0.893,5,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_141_v52,142337,GRID_W14_ROWS,MOCK,0.922,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_143_v52,144337,GRID_W14_ROWS,MOCK,0.890,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_144_v52,145337,GRID_W14_ROWS,MOCK,0.907,7,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_152_v52,153337,GRID_W14_ROWS,MOCK,0.930,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_154_v52,155337,GRID_W14_ROWS,MOCK,0.911,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_155_v52,156337,GRID_W14_ROWS,MOCK,0.897,5,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_157_v52,158337,GRID_W14_ROWS,MOCK,0.898,5,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_159_v52,160337,GRID_W14_ROWS,MOCK,0.892,5,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_160_v52,161337,GRID_W14_ROWS,MOCK,0.920,5,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_162_v52,163337,GRID_W14_ROWS,MOCK,0.902,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_163_v52,164337,GRID_W14_ROWS,MOCK,0.883,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_167_v52,168337,GRID_W14_ROWS,MOCK,0.929,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_168_v52,169337,GRID_W14_ROWS,MOCK,0.906,7,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_170_v52,171337,GRID_W14_ROWS,MOCK,0.905,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_174_v52,175337,GRID_W14_ROWS,MOCK,0.896,5,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_178_v52,179337,GRID_W14_ROWS,MOCK,0.900,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_179_v52,180337,GRID_W14_ROWS,MOCK,0.919,6,True,True,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_182_v52,183337,GRID_W14_ROWS,MOCK,0.907,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_185_v52,186337,GRID_W14_ROWS,MOCK,0.924,5,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_186_v52,187337,GRID_W14_ROWS,MOCK,0.902,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_187_v52,188337,GRID_W14_ROWS,MOCK,0.914,5,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_188_v52,189337,GRID_W14_ROWS,MOCK,0.914,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_190_v52,191337,GRID_W14_ROWS,MOCK,0.903,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_193_v52,194337,GRID_W14_ROWS,MOCK,0.905,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_194_v52,195337,GRID_W14_ROWS,MOCK,0.903,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_195_v52,196337,GRID_W14_ROWS,MOCK,0.921,5,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_197_v52,198337,GRID_W14_ROWS,MOCK,0.917,5,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
