index,x_model,y_model,z_model,x_real_m,y_real_m,z_real_m,arclength_model,arclength_real_m,segment
173,-36.856041,34.500000,79.789062,-1.094440,1.024477,2.369336,923.327729,27.418217,pool_arc
174,-37.081268,35.000000,72.747063,-1.101128,1.039325,2.160224,930.391049,27.627962,pool_arc
175,-37.239616,35.500000,75.898430,-1.105830,1.054172,2.253804,933.585762,27.722829,pool_arc
176,-37.387478,36.000000,82.391129,-1.110221,1.069020,2.446605,940.099363,27.916251,pool_arc
177,-39.495335,36.500000,82.134079,-1.172814,1.083867,2.438971,942.280907,27.981032,pool_arc
178,-37.652443,37.000000,78.055084,-1.118089,1.098715,2.317846,946.784733,28.114773,pool_arc
179,-37.783936,37.500000,70.525452,-1.121994,1.113563,2.094253,954.332094,28.338892,pool_arc
180,-37.919926,38.000000,70.362228,-1.126032,1.128410,2.089406,954.875357,28.355024,pool_arc
181,-38.063881,38.500000,72.577644,-1.130307,1.143258,2.155193,957.151053,28.422601,pool_arc
182,-38.181808,39.000000,75.626381,-1.133809,1.158105,2.245725,960.242768,28.514409,pool_arc
183,-40.235985,39.500000,79.403336,-1.194808,1.172953,2.357882,964.571166,28.642941,pool_arc
184,-40.330456,40.000000,83.058662,-1.197613,1.187800,2.466427,968.261740,28.752532,pool_arc
185,-38.473858,40.500000,73.509109,-1.142481,1.202647,2.182853,978.002937,29.041797,pool_arc
186,-38.563961,41.000000,73.211815,-1.145157,1.217495,2.174025,978.591582,29.059277,pool_arc
187,-38.670918,41.500000,65.835083,-1.148333,1.232342,1.954973,985.986013,29.278855,pool_arc
188,-38.742832,42.000000,70.949081,-1.150468,1.247190,2.106833,991.124899,29.431454,pool_arc
189,-38.834160,42.500000,69.084152,-1.153180,1.262037,2.051454,993.057851,29.488853,pool_arc
190,-40.829033,43.000000,82.046982,-1.212418,1.276885,2.436385,1006.182807,29.878598,pool_arc
191,-38.939354,43.500000,82.046982,-1.156304,1.291732,2.436385,1008.137516,29.936644,pool_arc
192,-39.047070,44.000000,79.750381,-1.159503,1.306580,2.368188,1010.490381,30.006512,pool_arc
193,-39.050957,44.500000,77.725540,-1.159618,1.321427,2.308060,1012.576046,30.068446,pool_arc
194,-41.060928,45.000000,70.189079,-1.219304,1.336275,2.084265,1020.391942,30.300539,pool_arc
195,-39.167908,45.500000,68.109077,-1.163091,1.351123,2.022499,1023.248502,30.385364,pool_arc
196,-39.202450,46.000000,65.950066,-1.164117,1.365970,1.958387,1025.464923,30.451181,pool_arc
197,-39.216763,46.500000,78.367950,-1.164542,1.380818,2.327136,1037.892878,30.820229,pool_arc
198,-39.250793,47.000000,82.494217,-1.165552,1.395665,2.449666,1042.049467,30.943659,pool_arc
199,-39.262146,47.500000,79.789062,-1.165889,1.410513,2.369336,1044.800465,31.025350,pool_arc
200,-39.254696,48.000000,80.189064,-1.165668,1.425360,2.381214,1045.440822,31.044365,pool_arc
