index,x_model,y_model,z_model,x_real_m,y_real_m,z_real_m,arclength_model,arclength_real_m,segment
262,-27.265648,79.000000,74.468109,-0.809653,2.345905,2.211331,1341.789732,39.844446,pool_arc
263,-26.789068,79.500000,78.932877,-0.795501,2.360752,2.343912,1346.307617,39.978605,pool_arc
264,-26.305359,80.000000,72.831947,-0.781138,2.375600,2.162745,1352.448082,40.160946,pool_arc
265,-28.172993,80.500000,70.589081,-0.836597,2.390448,2.096143,1355.409248,40.248878,pool_arc
266,-27.706593,81.000000,82.791908,-0.822747,2.405295,2.458506,1367.631217,40.611809,pool_arc
267,-24.693535,81.500000,76.048393,-0.733275,2.420142,2.258257,1375.034156,40.831639,away_arc
268,-24.111555,82.000000,74.468040,-0.715993,2.434990,2.211328,1376.790919,40.883806,away_arc
269,-23.501822,82.500000,77.709061,-0.697887,2.449838,2.307571,1380.126483,40.982856,away_arc
270,-25.539381,83.000000,74.468048,-0.758392,2.464685,2.211329,1383.987288,41.097503,pool_arc
271,-22.301498,83.500000,74.364120,-0.662243,2.479532,2.208243,1387.265196,41.194840,away_arc
272,-21.577133,84.000000,80.189064,-0.640733,2.494380,2.381214,1393.156263,41.369775,away_arc
273,-20.916138,84.500000,74.868042,-0.621105,2.509227,2.223207,1398.541446,41.529688,away_arc
274,-20.247807,85.000000,68.549858,-0.601259,2.524075,2.035588,1404.914523,41.718937,away_arc
275,-22.333181,85.500000,80.189056,-0.663184,2.538922,2.381214,1416.749629,42.070380,away_arc
276,-18.639277,86.000000,82.391647,-0.553493,2.553770,2.446620,1421.079333,42.198951,away_arc
277,-17.816437,86.500000,72.388046,-0.529059,2.568617,2.149563,1431.129164,42.497381,away_arc
278,-16.896797,87.000000,74.868042,-0.501750,2.583465,2.223207,1433.821025,42.577315,away_arc
279,-16.052608,87.500000,82.023804,-0.476682,2.598313,2.435697,1441.043738,42.791794,away_arc
280,-15.040623,88.000000,78.109055,-0.446631,2.613160,2.319448,1445.117971,42.912778,away_arc
281,-14.024271,88.500000,74.468040,-0.416451,2.628007,2.211328,1448.931100,43.026009,away_arc
282,-12.785719,89.000000,81.683090,-0.379672,2.642855,2.425579,1456.268740,43.243900,away_arc
283,-11.470785,89.500000,74.767105,-0.340625,2.657703,2.220209,1463.326353,43.453476,away_arc
284,-10.011766,90.000000,75.626320,-0.297299,2.672550,2.245724,1465.091851,43.505903,away_arc
285,-7.858042,90.500000,75.898239,-0.233345,2.687397,2.253798,1467.319512,43.572053,away_arc
286,-6.127190,91.000000,78.308830,-0.181947,2.702245,2.325381,1470.328963,43.661419,away_arc
287,-3.017105,91.500000,74.194870,-0.089593,2.717093,2.203217,1475.510401,43.815281,away_arc
288,2.226681,92.000000,79.788269,0.066121,2.731940,2.369313,1483.193720,44.043438,away_arc
289,4.099415,92.500000,72.992691,0.121732,2.746787,2.167518,1490.260333,44.253281,away_arc
290,-5.766396,93.000000,78.820587,-0.171233,2.761635,2.340577,1501.729796,44.593866,away_arc
291,10.941986,93.500000,74.476723,0.324922,2.776482,2.211586,1519.000847,45.106730,away_arc
292,5.138062,94.000000,79.788269,0.152575,2.791330,2.369313,1526.884251,45.340828,away_arc
293,4.087219,94.500000,72.662979,0.121370,2.806177,2.157727,1534.103948,45.555217,away_arc
