idx,s,x,y,z
0,0.0,-1.929805,-1.54414,2.329185
1,0.02,-1.9184489602074923,-1.5426673201551233,2.3127876501889446
2,0.04,-1.9070929204149845,-1.5411946403102468,2.29639030037789
3,0.06,-1.895736880622477,-1.53972196046537,2.279992950566835
4,0.08,-1.8843808408299694,-1.5382492806204935,2.26359560075578
5,0.1,-1.8730248010374617,-1.5367766007756167,2.2471982509447246
6,0.12000000000000001,-1.861668761244954,-1.53530392093074,2.23080090113367
7,0.14,-1.8503127214524464,-1.5338312410858634,2.214403551322615
8,0.16,-1.8389566816599385,-1.532358561240987,2.19800620151156
9,0.18,-1.8276006418674309,-1.5308858813961101,2.1816088517005046
10,0.19999999999999998,-1.8162446020749234,-1.5294132015512336,2.1652115018894498
11,0.21999999999999997,-1.8318657006468881,-1.5285683619228196,2.1717521261432076
12,0.23999999999999996,-1.8499061285066336,-1.5277798274592906,2.1803498445078233
13,0.25999999999999995,-1.8679465563663789,-1.526991292995762,2.1889475628724386
14,0.27999999999999997,-1.885986984226124,-1.526202758532233,2.1975452812370544
15,0.3,-1.9040274120858696,-1.525414224068704,2.2061429996016697
16,0.32,-1.9220678399456146,-1.5246256896051753,2.2147407179662855
17,0.34,-1.94010826780536,-1.5238371551416465,2.223338436330901
18,0.36000000000000004,-1.9581486956651053,-1.5230486206781175,2.2319361546955165
19,0.38000000000000006,-1.9761891235248505,-1.5222600862145885,2.240533873060132
20,0.4000000000000001,-1.994229551384596,-1.5214715517510595,2.2491315914247476
21,0.4200000000000001,-2.012269979244341,-1.5206830172875305,2.257729309789363
22,0.4400000000000001,-2.0303104071040865,-1.519894482824002,2.2663270281539787
23,0.46000000000000013,-2.0483508349638315,-1.519105948360473,2.274924746518594
24,0.48000000000000015,-2.066391262823577,-1.518317413896944,2.2835224648832098
25,0.5000000000000001,-2.0844316906833225,-1.5175288794334152,2.292120183247825
26,0.5200000000000001,-2.1024721185430675,-1.5167403449698862,2.3007179016124404
27,0.5400000000000001,-2.120512546402813,-1.5159518105063574,2.309315619977056
28,0.5600000000000002,-2.138552974262558,-1.5151632760428286,2.317913338341672
29,0.5800000000000002,-2.15321448244688,-1.5143975766693252,2.325557896946777
30,0.6000000000000002,-2.133332130560011,-1.5138653282891377,2.3234579749128486
31,0.6200000000000002,-2.113449778673143,-1.5133330799089502,2.3213580528789195
32,0.6400000000000002,-2.093567426786274,-1.5128008315287624,2.319258130844991
33,0.6600000000000003,-2.0736850748994056,-1.5122685831485747,2.317158208811062
34,0.6800000000000003,-2.053802723012537,-1.511736334768387,2.3150582867771337
35,0.7000000000000003,-2.0339203711256686,-1.5112040863881995,2.312958364743205
36,0.7200000000000003,-2.0140380192387997,-1.5106718380080117,2.310858442709276
37,0.7400000000000003,-1.9941556673519314,-1.5101395896278242,2.3087585206753474
38,0.7600000000000003,-1.9742733154650627,-1.5096073412476365,2.3066585986414188
39,0.7800000000000004,-1.9543909635781942,-1.5090750928674488,2.30455867660749
40,0.8000000000000004,-1.9345086116913257,-1.5085428444872613,2.3024587545735615
41,0.8200000000000004,-1.914626259804457,-1.5080105961070733,2.3003588325396325
42,0.8400000000000004,-1.8947439079175887,-1.5074783477268858,2.2982589105057043
43,0.8600000000000004,-1.87486155603072,-1.506946099346698,2.2961589884717752
44,0.8800000000000004,-1.8549792041438515,-1.5064138509665104,2.2940590664378466
45,0.9000000000000005,-1.8350968522569828,-1.5058816025863226,2.291959144403918
46,0.9200000000000005,-1.8152145003701143,-1.5053493542061351,2.2898592223699894
47,0.9400000000000005,-1.7953321484832458,-1.5048171058259476,2.287759300336061
48,0.9600000000000005,-1.7754497965963774,-1.50428485744576,2.285659378302132
49,0.9800000000000005,-1.7555674447095089,-1.5037526090655722,2.283559456268203
50,1.0000000000000004,-1.73568509282264,-1.5032203606853847,2.2814595342342745
51,1.0200000000000005,-1.7158027409357715,-1.502688112305197,2.279359612200346
52,1.0400000000000005,-1.695920389048903,-1.5021558639250094,2.2772596901664173
53,1.0600000000000005,-1.6760380371620345,-1.5016236155448215,2.2751597681324887
54,1.0800000000000005,-1.656155685275166,-1.501091367164634,2.27305984609856
55,1.1000000000000005,-1.6362733333882973,-1.5005591187844463,2.270959924064631
56,1.1200000000000006,-1.6163909815014288,-1.5000268704042587,2.268860002030703
57,1.1400000000000006,-1.6041402422775668,-1.4994102016123494,2.267683027001129
