vertex_id,x,y,z,relief_from_median
0,-29.805191040039062,21.7745418548584,49.45531463623047,-26.59294891357422
100,-33.17525100708008,23.271564483642578,35.82405090332031,-40.224212646484375
200,-6.489864349365234,91.1797103881836,33.743858337402344,-42.304405212402344
300,-10.703119277954102,89.88877868652344,33.94386672973633,-42.10439682006836
400,-14.917461395263672,88.11335754394531,36.22386169433594,-39.82440185546875
500,-22.243085861206055,83.55790710449219,34.94488525390625,-41.10337829589844
600,-27.67724609375,81.50468444824219,33.93239212036133,-42.11587142944336
700,-31.5023136138916,77.21826934814453,34.01863479614258,-42.02962875366211
800,-36.06922149658203,70.20710754394531,33.38386917114258,-42.66439437866211
900,-35.308921813964844,67.1615982055664,34.9014892578125,-41.14677429199219
1000,-38.08837890625,59.163673400878906,36.58393096923828,-39.464332580566406
1100,-38.464454650878906,57.31264114379883,33.94390869140625,-42.10435485839844
1200,-40.96186828613281,54.28285217285156,36.22385787963867,-39.824405670166016
1300,-39.01384735107422,44.68310546875,34.228363037109375,-41.81990051269531
1400,-38.76936340332031,42.634761810302734,35.840858459472656,-40.20740509033203
1500,-36.72438049316406,34.545379638671875,34.862098693847656,-41.18616485595703
1600,-37.56406784057617,31.1707763671875,35.82386779785156,-40.224395751953125
1700,4.053470611572266,94.50690460205078,35.8238639831543,-40.22439956665039
1800,13.891548156738281,93.50691223144531,36.5838623046875,-39.46440124511719
1900,12.012283325195312,93.82334899902344,33.74386215209961,-42.30440139770508
2000,-33.56804656982422,27.64548683166504,30.92566680908203,-45.122596740722656
2100,-32.92644500732422,22.920652389526367,29.627159118652344,-46.421104431152344
2200,-5.021322250366211,93.58160400390625,30.347736358642578,-45.70052719116211
2300,-9.692136764526367,92.36372375488281,31.648178100585938,-44.40008544921875
2400,-16.884441375732422,89.34088134765625,31.80648422241211,-44.24177932739258
2500,-19.785364151000977,87.6824722290039,31.84405517578125,-44.20420837402344
2600,-25.908246994018555,80.42349243164062,29.525169372558594,-46.523094177246094
2700,-27.09682846069336,79.2168197631836,31.872146606445312,-44.176116943359375
2800,-32.5890007019043,75.8004150390625,31.907161712646484,-44.1411018371582
2900,-36.459686279296875,69.4287338256836,30.528854370117188,-45.5194091796875
3000,-36.456329345703125,64.40513610839844,31.50558090209961,-44.54268264770508
3100,-40.08429718017578,59.28190612792969,31.402809143066406,-44.64545440673828
3200,-41.19157028198242,51.35401153564453,31.246417999267578,-44.80184555053711
3300,-39.157474517822266,46.06380844116211,30.674060821533203,-45.374202728271484
3400,-38.535194396972656,41.319374084472656,29.427169799804688,-46.62109375
3500,-37.864112854003906,31.872760772705078,30.174922943115234,-45.87334060668945
3600,-35.49995040893555,31.423080444335938,31.90716552734375,-44.14109802246094
3700,15.740032196044922,90.93360137939453,30.347187042236328,-45.70107650756836
3800,10.257648468017578,94.11111450195312,31.507164001464844,-44.541099548339844
3900,-35.88934326171875,32.344722747802734,27.642372131347656,-48.40589141845703
4000,-36.278560638427734,28.407928466796875,25.362178802490234,-50.68608474731445
4100,0.7618293762207031,94.38094329833984,27.19050407409668,-48.85775947570801
4200,-31.533004760742188,24.417238235473633,27.233524322509766,-48.81473922729492
4300,-6.801633834838867,91.11405944824219,27.442520141601562,-48.605743408203125
4400,-12.853042602539062,89.03857421875,26.741600036621094,-49.306663513183594
4500,-15.308341979980469,87.89541625976562,25.363197326660156,-50.68506622314453
4600,-22.52227020263672,85.83787536621094,26.24345588684082,-49.80480766296387
4700,-26.916046142578125,82.23831176757812,25.3621826171875,-50.68608093261719
4800,-29.18425750732422,76.89075469970703,26.283199310302734,-49.76506423950195
4900,-33.17376708984375,71.23978424072266,26.382183074951172,-49.666080474853516
5000,-36.81580352783203,68.66315460205078,26.182191848754883,-49.866071701049805
5100,-38.4664192199707,64.7387924194336,25.982568740844727,-50.06569480895996
5200,-40.15380096435547,59.170631408691406,25.361976623535156,-50.68628692626953
5300,-41.239383697509766,49.22610092163086,25.51087188720703,-50.537391662597656
5400,-39.166465759277344,46.527381896972656,27.11361312866211,-48.93465042114258
5500,-37.62100601196289,37.30250549316406,25.463186264038086,-50.5850772857666
5600,-38.15331268310547,32.59941864013672,25.162181854248047,-50.88608169555664
5700,11.983383178710938,91.7962646484375,27.642173767089844,-48.406089782714844
5800,11.452568054199219,93.93343353271484,23.310266494750977,-52.73799705505371
5900,9.23150634765625,92.21328735351562,21.337757110595703,-54.710506439208984
6000,3.870075225830078,92.5206298828125,21.4124813079834,-54.63578224182129
6100,-35.762115478515625,27.483768463134766,21.43009376525879,-54.6181697845459
6200,1.6419029235839844,92.43397521972656,22.910079956054688,-53.13818359375
6300,-2.2942771911621094,94.0455322265625,20.830087661743164,-55.21817588806152
6400,-7.963106155395508,92.882080078125,22.077228546142578,-53.97103500366211
6500,-11.818574905395508,91.60600280761719,22.7296085357666,-53.318655014038086
6600,-17.470348358154297,86.75145721435547,21.430084228515625,-54.61817932128906
6700,-22.402385711669922,85.9247055053711,22.905601501464844,-53.142662048339844
6800,-27.73192024230957,78.5859375,23.670085906982422,-52.378177642822266
6900,-30.386817932128906,78.56210327148438,21.887834548950195,-54.16042900085449
7000,-35.719078063964844,70.86299133300781,23.670154571533203,-52.378108978271484
7100,-36.592586517333984,69.132080078125,20.829959869384766,-55.21830368041992
7200,-38.78767395019531,63.852760314941406,21.626426696777344,-54.421836853027344
7300,-40.509605407714844,57.22263717651367,20.83009910583496,-55.21816444396973
7400,-41.066253662109375,53.07051086425781,21.328086853027344,-54.720176696777344
7500,-41.233184814453125,49.8848876953125,22.91008758544922,-53.13817596435547
7600,-38.35206604003906,40.11381149291992,23.310094833374023,-52.738168716430664
7700,-39.541770935058594,36.80902862548828,16.507884979248047,-59.54037857055664
7800,-38.887733459472656,43.58842849731445,18.987886428833008,-57.06037712097168
7900,-41.23816680908203,48.448204040527344,18.98788833618164,-57.06037521362305
8000,-40.92625045776367,54.51343536376953,18.460277557373047,-57.58798599243164
8100,-39.461097717285156,61.709163665771484,18.091524124145508,-57.95673942565918
8200,-38.435935974121094,64.8331298828125,16.547571182250977,-59.50069236755371
8300,-34.714698791503906,68.40103912353516,17.15454864501953,-58.893714904785156
8400,-32.70676040649414,75.60124206542969,17.154550552368164,-58.89371299743652
8500,-29.15011215209961,76.9295425415039,18.987886428833008,-57.06037712097168
8600,-24.832347869873047,84.0472412109375,16.507884979248047,-59.54037857055664
8700,-18.398378372192383,88.50524139404297,18.588483810424805,-57.45977973937988
8800,-14.94009017944336,90.3305892944336,16.507884979248047,-59.54037857055664
8900,-9.158937454223633,90.41230773925781,18.630992889404297,-57.41727066040039
9000,-33.083824157714844,71.38655090332031,16.7078857421875,-59.34037780761719
9100,-1.0416679382324219,92.21644592285156,16.507877349853516,-59.54038619995117
9200,-0.5143203735351562,94.28743743896484,18.20215606689453,-57.846107482910156
9300,4.277744293212891,94.50873565673828,18.98788070678711,-57.06038284301758
9400,-35.06124496459961,30.52408790588379,17.162851333618164,-58.88541221618652
9500,7.824851989746094,94.35973358154297,18.587879180908203,-57.460384368896484
9600,-4.077476501464844,91.73451232910156,40.494972229003906,-35.55329132080078
9700,-9.913440704345703,90.16139221191406,38.21478271484375,-37.83348083496094
