label,delta_vs_windowed,delta_vs_shuffled,pass_deltas,p_value,pass_nulls,tie_rate,pass_orbits
C14_000,0.0,0.0,False,,,,
C14_001,0.0,0.0,False,,,,
C14_002,0.0,0.0,False,,,,
C14_003,0.0,0.0,False,,,,
C14_004,0.0,0.0,False,,,,
C14_005,0.0,0.0,False,,,,
C14_006,0.0,0.0,False,,,,
C14_007,0.0,0.0,False,,,,
C14_008,0.0,0.0,False,,,,
C14_009,0.0,0.0,False,,,,
C14_010,0.0,0.0,False,,,,
C14_011,0.0,0.0,False,,,,
C14_012,0.0,0.0,False,,,,
C14_013,0.0,0.0,False,,,,
C14_014,0.0,0.0,False,,,,
C14_015,0.0,0.0,False,,,,
C14_016,0.0,0.0,False,,,,
C14_017,0.0,0.0,False,,,,
C14_018,0.0,0.0,False,,,,
C14_019,0.0,0.0,False,,,,
C14_020,0.0,0.0,False,,,,
C14_021,0.0,0.0,False,,,,
C14_022,0.0,0.0,False,,,,
C14_023,0.0,0.0,False,,,,
C14_024,0.0,0.0,False,,,,
C14_025,0.0,0.0,False,,,,
C14_026,0.0,0.0,False,,,,
C14_027,0.0,0.0,False,,,,
C14_028,0.0,0.0,False,,,,
C14_029,0.0,0.0,False,,,,
C14_030,0.0,0.0,False,,,,
C14_031,0.0,0.0,False,,,,
C14_032,0.0,0.0,False,,,,
C14_033,0.0,0.0,False,,,,
C14_034,0.0,0.0,False,,,,
C14_035,0.0,0.0,False,,,,
C14_036,0.0,0.0,False,,,,
C14_037,0.0,0.0,False,,,,
C14_038,0.0,0.0,False,,,,
C14_039,0.0,0.0,False,,,,
C14_040,0.0,0.0,False,,,,
C14_041,0.0,0.0,False,,,,
C14_042,0.0,0.0,False,,,,
C14_043,0.0,0.0,False,,,,
C14_044,0.0,0.0,False,,,,
C14_045,0.0,0.0,False,,,,
C14_046,0.0,0.0,False,,,,
C14_047,0.0,0.0,False,,,,
C14_048,0.0,0.0,False,,,,
C14_049,0.0,0.0,False,,,,
C14_050,0.0,0.0,False,,,,
C14_051,0.0,0.0,False,,,,
C14_052,0.0,0.0,False,,,,
C14_053,0.0,0.0,False,,,,
C14_054,0.0,0.0,False,,,,
C14_055,0.0,0.0,False,,,,
C14_056,0.0,0.0,False,,,,
C14_057,0.0,0.0,False,,,,
C14_058,0.0,0.0,False,,,,
C14_059,0.0,0.0,False,,,,
C14_060,0.0,0.0,False,,,,
C14_061,0.0,0.0,False,,,,
C14_062,0.0,0.0,False,,,,
C14_063,0.0,0.0,False,,,,
C14_064,0.0,0.0,False,,,,
C14_065,0.0,0.0,False,,,,
C14_066,0.0,0.0,False,,,,
C14_067,0.0,0.0,False,,,,
C14_068,0.0,0.0,False,,,,
C14_069,0.0,0.0,False,,,,
C14_070,0.0,0.0,False,,,,
C14_071,0.0,0.0,False,,,,
C14_072,0.0,0.0,False,,,,
C14_073,0.0,0.0,False,,,,
C14_074,0.0,0.0,False,,,,
C14_075,0.0,0.0,False,,,,
C14_076,0.0,0.0,False,,,,
C14_077,0.0,0.0,False,,,,
C14_078,0.0,0.0,False,,,,
C14_079,0.0,0.0,False,,,,
C14_080,0.0,0.0,False,,,,
C14_081,0.0,0.0,False,,,,
C14_082,0.0,0.0,False,,,,
C14_083,0.0,0.0,False,,,,
C14_084,0.0,0.0,False,,,,
C14_085,0.0,0.0,False,,,,
C14_086,0.0,0.0,False,,,,
C14_087,0.0,0.0,False,,,,
C14_088,0.0,0.0,False,,,,
C14_089,0.0,0.0,False,,,,
C14_090,0.0,0.0,False,,,,
C14_091,0.0,0.0,False,,,,
C14_092,0.0,0.0,False,,,,
C14_093,0.0,0.0,False,,,,
C14_094,0.0,0.0,False,,,,
C14_095,0.0,0.0,False,,,,
C14_096,0.0,0.0,False,,,,
C14_097,0.0,0.0,False,,,,
C14_098,0.0,0.0,False,,,,
C14_099,0.0,0.0,False,,,,
