config,weights,candidate,score,delta_windowed,delta_shuffled,pass_deltas,ngram_contrib,coverage_contrib,compress_contrib
ngram_only,"1.00,0.00,0.00",B0002,5.369829265495972,0.00911753293297668,6.114639577153028,False,5.369829265495972,0.0,-0.0
ngram_only,"1.00,0.00,0.00",B0008,5.768610107484213,0.00911753293297668,6.513420419141269,False,5.768610107484213,0.0,-0.0
ngram_only,"1.00,0.00,0.00",B0019,6.081379395318128,0.00911753293297668,6.7440877689187815,False,6.081379395318128,0.0,-0.0
ngram_only,"1.00,0.00,0.00",B0033,5.201715773285243,0.00911753293297668,4.251707506492275,False,5.201715773285243,0.0,-0.0
ngram_only,"1.00,0.00,0.00",B0027,5.597960648074832,0.00911753293297668,6.062546584280692,False,5.597960648074832,0.0,-0.0
ngram_only,"1.00,0.00,0.00",B0038,5.193790875789452,0.00911753293297668,5.388930297138392,False,5.193790875789452,0.0,-0.0
ngram_only,"1.00,0.00,0.00",B0043,5.193790875789452,0.00911753293297668,5.927823326852232,False,5.193790875789452,0.0,-0.0
ngram_only,"1.00,0.00,0.00",B0050,5.193790875789452,0.00911753293297668,5.658376811995312,False,5.193790875789452,0.0,-0.0
ngram_only,"1.00,0.00,0.00",B0053,5.597960648074832,0.00911753293297668,6.331993099137611,False,5.597960648074832,0.0,-0.0
ngram_only,"1.00,0.00,0.00",B0006,5.502756212825386,0.00911753293297668,5.981712629823615,False,5.502756212825386,0.0,-0.0
coverage_only,"0.00,1.00,0.00",B0002,4.894772883591672,0.00911753293297668,5.912473708813875,False,0.0,4.894772883591672,-0.0
coverage_only,"0.00,1.00,0.00",B0008,5.678559023664981,0.00911753293297668,6.696259848887183,False,0.0,5.678559023664981,-0.0
coverage_only,"0.00,1.00,0.00",B0019,4.270349910106159,0.00911753293297668,3.818702293707554,False,0.0,4.270349910106159,-0.0
coverage_only,"0.00,1.00,0.00",B0033,3.714082253148759,0.00911753293297668,2.9617494167731815,False,0.0,3.714082253148759,-0.0
coverage_only,"0.00,1.00,0.00",B0027,5.475935109662481,0.00911753293297668,7.018155566813883,False,0.0,5.475935109662481,-0.0
coverage_only,"0.00,1.00,0.00",B0038,4.688464898425489,0.00911753293297668,5.698797581320328,False,0.0,4.688464898425489,-0.0
coverage_only,"0.00,1.00,0.00",B0043,4.688464898425489,0.00911753293297668,6.230685355576892,False,0.0,4.688464898425489,-0.0
coverage_only,"0.00,1.00,0.00",B0050,4.688464898425489,0.00911753293297668,6.230685355576892,False,0.0,4.688464898425489,-0.0
coverage_only,"0.00,1.00,0.00",B0053,5.475935109662481,0.00911753293297668,7.018155566813883,False,0.0,5.475935109662481,-0.0
coverage_only,"0.00,1.00,0.00",B0006,5.405937757552526,0.00911753293297668,6.9518422858676105,False,0.0,5.405937757552526,-0.0
compress_only,"0.00,0.00,1.00",B0002,-0.12038585308576924,0.009117532932976624,0.0,False,0.0,0.0,-0.12038585308576924
compress_only,"0.00,0.00,1.00",B0008,-0.12038585308576924,0.009117532932976624,0.0,False,0.0,0.0,-0.12038585308576924
compress_only,"0.00,0.00,1.00",B0019,-0.12038585308576924,0.009117532932976624,0.0,False,0.0,0.0,-0.12038585308576924
compress_only,"0.00,0.00,1.00",B0033,-0.12038585308576924,0.009117532932976624,0.0,False,0.0,0.0,-0.12038585308576924
compress_only,"0.00,0.00,1.00",B0027,-0.12038585308576924,0.009117532932976624,0.0,False,0.0,0.0,-0.12038585308576924
compress_only,"0.00,0.00,1.00",B0038,-0.12038585308576924,0.009117532932976624,0.0,False,0.0,0.0,-0.12038585308576924
compress_only,"0.00,0.00,1.00",B0043,-0.12038585308576924,0.009117532932976624,0.0,False,0.0,0.0,-0.12038585308576924
compress_only,"0.00,0.00,1.00",B0050,-0.12038585308576924,0.009117532932976624,0.0,False,0.0,0.0,-0.12038585308576924
compress_only,"0.00,0.00,1.00",B0053,-0.12038585308576924,0.009117532932976624,0.0,False,0.0,0.0,-0.12038585308576924
compress_only,"0.00,0.00,1.00",B0006,-0.12038585308576924,0.009117532932976624,0.0,False,0.0,0.0,-0.12038585308576924
ngram_coverage,"0.50,0.50,0.00",B0002,5.132301074543822,0.00911753293297668,6.013556642983451,False,2.684914632747986,2.447386441795836,-0.0
ngram_coverage,"0.50,0.50,0.00",B0008,5.723584565574598,0.00911753293297668,6.604840134014227,False,2.8843050537421067,2.8392795118324905,-0.0
ngram_coverage,"0.50,0.50,0.00",B0019,5.175864652712143,0.00911753293297668,5.281395031313167,False,3.040689697659064,2.1351749550530794,-0.0
ngram_coverage,"0.50,0.50,0.00",B0033,4.457899013217001,0.00911753293297668,3.6067284616327284,False,2.6008578866426215,1.8570411265743796,-0.0
ngram_coverage,"0.50,0.50,0.00",B0027,5.536947878868656,0.00911753293297668,6.540351075547287,False,2.798980324037416,2.7379675548312403,-0.0
ngram_coverage,"0.50,0.50,0.00",B0038,4.941127887107471,0.00911753293297668,5.54386393922936,False,2.596895437894726,2.3442324492127447,-0.0
ngram_coverage,"0.50,0.50,0.00",B0043,4.941127887107471,0.00911753293297668,6.079254341214562,False,2.596895437894726,2.3442324492127447,-0.0
ngram_coverage,"0.50,0.50,0.00",B0050,4.941127887107471,0.00911753293297668,5.944531083786102,False,2.596895437894726,2.3442324492127447,-0.0
ngram_coverage,"0.50,0.50,0.00",B0053,5.536947878868656,0.00911753293297668,6.675074332975747,False,2.798980324037416,2.7379675548312403,-0.0
ngram_coverage,"0.50,0.50,0.00",B0006,5.454346985188956,0.00911753293297668,6.4667774578456125,False,2.751378106412693,2.702968878776263,-0.0
ngram_compress,"0.50,0.00,0.50",B0002,2.6247217062051016,0.00911753293297668,3.057319788576514,False,2.684914632747986,0.0,-0.06019292654288462
ngram_compress,"0.50,0.00,0.50",B0008,2.824112127199222,0.00911753293297668,3.2567102095706346,False,2.8843050537421067,0.0,-0.06019292654288462
ngram_compress,"0.50,0.00,0.50",B0019,2.9804967711161794,0.00911753293297668,3.3720438844593907,False,3.040689697659064,0.0,-0.06019292654288462
ngram_compress,"0.50,0.00,0.50",B0033,2.540664960099737,0.00911753293297668,2.1258537532461377,False,2.6008578866426215,0.0,-0.06019292654288462
ngram_compress,"0.50,0.00,0.50",B0027,2.7387873974945314,0.00911753293297668,3.031273292140346,False,2.798980324037416,0.0,-0.06019292654288462
ngram_compress,"0.50,0.00,0.50",B0038,2.5367025113518418,0.00911753293297668,2.6944651485691966,False,2.596895437894726,0.0,-0.06019292654288462
ngram_compress,"0.50,0.00,0.50",B0043,2.5367025113518418,0.00911753293297668,2.9639116634261162,False,2.596895437894726,0.0,-0.06019292654288462
ngram_compress,"0.50,0.00,0.50",B0050,2.5367025113518418,0.00911753293297668,2.829188405997656,False,2.596895437894726,0.0,-0.06019292654288462
ngram_compress,"0.50,0.00,0.50",B0053,2.7387873974945314,0.00911753293297668,3.165996549568806,False,2.798980324037416,0.0,-0.06019292654288462
ngram_compress,"0.50,0.00,0.50",B0006,2.6911851798698088,0.00911753293297668,2.9908563149118077,False,2.751378106412693,0.0,-0.06019292654288462
coverage_compress,"0.00,0.50,0.50",B0002,2.3871935152529518,0.00911753293297668,2.9562368544069377,False,0.0,2.447386441795836,-0.06019292654288462
coverage_compress,"0.00,0.50,0.50",B0008,2.779086585289606,0.00911753293297668,3.348129924443592,False,0.0,2.8392795118324905,-0.06019292654288462
coverage_compress,"0.00,0.50,0.50",B0019,2.074982028510195,0.00911753293297668,1.9093511468537772,False,0.0,2.1351749550530794,-0.06019292654288462
coverage_compress,"0.00,0.50,0.50",B0033,1.796848200031495,0.00911753293297668,1.4808747083865907,False,0.0,1.8570411265743796,-0.06019292654288462
coverage_compress,"0.00,0.50,0.50",B0027,2.677774628288356,0.00911753293297668,3.509077783406942,False,0.0,2.7379675548312403,-0.06019292654288462
coverage_compress,"0.00,0.50,0.50",B0038,2.28403952266986,0.00911753293297668,2.849398790660164,False,0.0,2.3442324492127447,-0.06019292654288462
coverage_compress,"0.00,0.50,0.50",B0043,2.28403952266986,0.00911753293297668,3.1153426777884463,False,0.0,2.3442324492127447,-0.06019292654288462
coverage_compress,"0.00,0.50,0.50",B0050,2.28403952266986,0.00911753293297668,3.1153426777884463,False,0.0,2.3442324492127447,-0.06019292654288462
coverage_compress,"0.00,0.50,0.50",B0053,2.677774628288356,0.00911753293297668,3.509077783406942,False,0.0,2.7379675548312403,-0.06019292654288462
coverage_compress,"0.00,0.50,0.50",B0006,2.6427759522333787,0.00911753293297668,3.4759211429338057,False,0.0,2.702968878776263,-0.06019292654288462
sweep_0.2_0.3_0.5,"0.20,0.30,0.50",B0002,2.4822047916338117,0.00911753293297668,2.9966700280747682,False,1.0739658530991945,1.4684318650775017,-0.06019292654288462
sweep_0.2_0.3_0.5,"0.20,0.30,0.50",B0008,2.7970968020534523,0.00911753293297668,3.311562038494409,False,1.1537220214968427,1.7035677070994943,-0.06019292654288462
