label,length,fixed_score,windowed_score,shuffled_score,delta_windowed,delta_shuffled,pass_deltas,z_ngram,z_coverage,z_compress,penalties
H1515,35,3.2128210219074322,3.2128210219074322,0.39556447930616856,0.0,2.817256542601264,False,4.343856147997991,3.594530729452388,0.0,0.0
H2542,35,3.3045058205835884,3.3045058205835884,0.5661421083774334,0.0,2.738363712206155,False,4.343856147997991,3.8564872970985484,0.0,0.0
H1640,36,2.889690278460291,2.889690278460291,0.05645926340301351,0.0,2.8332310150572777,False,4.169105154714899,2.8959798823959613,0.0,0.0
H1833,36,3.0934342755184154,3.0934342755184154,-0.23896953233126697,0.0,3.3324038078496825,False,4.169105154714899,3.478105588276317,0.0,0.0
H1930,36,3.0934342755184154,3.0934342755184154,-0.40226209396510343,0.0,3.495696369483519,False,4.169105154714899,3.478105588276317,0.0,0.0
H1999,36,3.0934342755184154,3.0934342755184154,0.33443216437887935,0.0,2.759002111139536,False,4.169105154714899,3.478105588276317,0.0,0.0
H2102,36,3.4374752935445025,3.4374752935445025,0.12252738045323563,0.0,3.3149479130912667,False,4.9336407503284265,3.478105588276317,0.0,0.0
H2148,36,3.2337312964863782,3.2337312964863782,1.269330773873528,0.0,1.9644005226128503,False,4.9336407503284265,2.8959798823959613,0.0,0.0
H0140,37,2.5591017228066812,2.5591017228066812,-0.715595358737931,0.0,3.274697081544612,False,3.5078851801302258,2.8015811192802276,0.0,0.0
H0268,37,3.315243478905539,3.315243478905539,0.24381206674824663,0.0,3.0714314121572923,False,4.747672632476487,3.367973697974628,0.0,0.0
H0269,37,3.0721856654482047,3.0721856654482047,-1.2286793013794544,0.0,4.300864966827659,False,4.003800161068731,3.6299302656207884,0.0,0.0
H0789,37,2.893844334940172,2.893844334940172,0.13223119603708317,0.0,2.761613138903089,False,4.251757651537983,2.8015811192802276,0.0,0.0
H0818,37,2.980500866772049,2.980500866772049,-0.24733182701070233,0.0,3.2278326937827515,False,4.003800161068731,3.367973697974628,0.0,0.0
H1273,37,2.159642627723889,2.159642627723889,-0.3808527466044404,0.0,2.5404953743283296,False,1.7721827468454603,3.8918868332669487,0.0,0.0
H1615,37,3.2036626081943758,3.2036626081943758,0.3553929374594102,0.0,2.8482696707349655,False,4.499715142007235,3.367973697974628,0.0,0.0
H1671,37,2.980500866772049,2.980500866772049,-0.49243361731560387,0.0,3.472934484087653,False,4.003800161068731,3.367973697974628,0.0,0.0
H1896,37,2.980500866772049,2.980500866772049,1.9344369094539955,0.0,1.0460639573180535,False,4.003800161068731,3.367973697974628,0.0,0.0
H1949,37,3.315243478905539,3.315243478905539,-0.9387571001602582,0.0,4.2540005790657975,False,4.747672632476487,3.367973697974628,0.0,0.0
H2633,37,2.980500866772049,2.980500866772049,-0.29419621477256375,0.0,3.2746970815446126,False,4.003800161068731,3.367973697974628,0.0,0.0
H2767,37,2.7822634642290085,2.7822634642290085,-0.26927187589327667,0.0,3.0515353401222853,False,4.003800161068731,2.8015811192802276,0.0,0.0
H0004,38,2.873511321643911,2.873511321643911,-0.4478520598327017,0.0,3.321363381476613,False,3.8471954302460447,3.2636382229519754,0.0,0.0
H0474,38,2.789135224860242,2.789135224860242,1.6425822432187602,0.0,1.1465529816414817,False,4.088627723597685,2.7121507121179538,0.0,0.0
H0532,38,2.0790801309220797,2.0790801309220797,-0.5152684232842886,0.0,2.594348554206368,False,1.6743047900812813,3.787551358244295,0.0,0.0
H0774,38,2.0790801309220797,2.0790801309220797,-0.16314663236463817,0.0,2.242226763286718,False,1.6743047900812813,3.787551358244295,0.0,0.0
H0853,38,2.463201628835528,2.463201628835528,-1.0172629147688286,0.0,3.4804645436043566,False,3.3643308435427643,2.7121507121179538,0.0,0.0
H0896,38,2.0790801309220797,2.0790801309220797,0.1215587951034251,0.0,1.9575213358186545,False,1.6743047900812813,3.787551358244295,0.0,0.0
H0900,38,3.0064242888767185,3.0064242888767185,0.7491575519282856,0.0,2.257266736948433,False,4.571492310300966,2.7121507121179538,0.0,0.0
H1021,38,2.0790801309220797,2.0790801309220797,0.5973650916930295,0.0,1.4817150392290501,False,1.6743047900812813,3.787551358244295,0.0,0.0
H1311,38,3.090800385660388,3.090800385660388,-0.7325574873007652,0.0,3.823357872961153,False,4.330060016949326,3.2636382229519754,0.0,0.0
H1382,38,2.145912564819051,2.145912564819051,-0.18933482725957385,0.0,2.335247392078625,False,2.8814662568394835,2.7121507121179538,0.0,0.1
H1453,38,2.873511321643911,2.873511321643911,-0.013273931799748808,0.0,2.88678525344366,False,3.8471954302460447,3.2636382229519754,0.0,0.0
H1633,38,3.090800385660388,3.090800385660388,-0.013273931799748808,0.0,3.1040743174601366,False,4.330060016949326,3.2636382229519754,0.0,0.0
H1737,38,2.873511321643911,2.873511321643911,0.1797466969921586,0.0,2.693764624651753,False,3.8471954302460447,3.2636382229519754,0.0,0.0
H1974,38,3.199444917668626,3.199444917668626,-0.32224779449238106,0.0,3.5216927121610073,False,4.571492310300966,3.2636382229519754,0.0,0.0
H2016,38,3.3924655464605333,3.3924655464605333,1.099359583177569,0.0,2.2931059632829642,False,4.571492310300966,3.815125733785996,0.0,0.0
H2523,38,2.463201628835528,2.463201628835528,-0.6651411238491781,0.0,3.128342752684706,False,3.3643308435427643,2.7121507121179538,0.0,0.0
