index,orig_letter,mutant_letter,feasible,failure_reason,pt_sha256_mutant,families_json,L_json,phase_json,seed_u64,runtime_ms
78,O,S,False,incomplete_derivation,,[],[],[],17298140424576725701,13
78,O,V,False,incomplete_derivation,,[],[],[],1808336544184186743,16
78,O,U,False,incomplete_derivation,,[],[],[],16494605503260524814,17
78,O,W,False,incomplete_derivation,,[],[],[],5345538013934193,15
78,O,Z,False,incomplete_derivation,,[],[],[],17237582114916067605,13
78,O,T,False,incomplete_derivation,,[],[],[],5423604159457996142,24
78,O,Y,False,incomplete_derivation,,[],[],[],7747132651567177944,17
78,O,X,False,incomplete_derivation,,[],[],[],6625788425309490414,29
79,Y,C,False,incomplete_derivation,,[],[],[],9140540560190952295,17
79,Y,F,False,incomplete_derivation,,[],[],[],12171060316738310809,13
79,Y,B,False,incomplete_derivation,,[],[],[],13098881715652460364,19
79,Y,A,False,incomplete_derivation,,[],[],[],16143234886716623738,25
79,Y,E,False,incomplete_derivation,,[],[],[],17881953414967268234,18
79,Y,D,False,incomplete_derivation,,[],[],[],13601358535950557877,22
79,Y,G,False,incomplete_derivation,,[],[],[],13709035355030681749,17
79,Y,I,False,incomplete_derivation,,[],[],[],8072664938868844589,18
79,Y,L,False,incomplete_derivation,,[],[],[],7435599353284373198,19
79,Y,H,False,incomplete_derivation,,[],[],[],1392741826492450836,23
79,Y,M,False,incomplete_derivation,,[],[],[],14670426351059239994,19
79,Y,N,False,incomplete_derivation,,[],[],[],18248659155866057279,19
79,Y,J,False,incomplete_derivation,,[],[],[],6156396429755822787,24
79,Y,K,False,incomplete_derivation,,[],[],[],16425045324616846219,26
79,Y,O,False,incomplete_derivation,,[],[],[],14489097529897569571,25
79,Y,R,False,incomplete_derivation,,[],[],[],10535087269634528260,13
79,Y,P,False,incomplete_derivation,,[],[],[],1727921006783969354,21
79,Y,U,False,incomplete_derivation,,[],[],[],15234063081390353255,13
79,Y,Q,False,incomplete_derivation,,[],[],[],10647188169709568732,18
79,Y,W,False,incomplete_derivation,,[],[],[],7741417887060675444,14
79,Y,V,False,incomplete_derivation,,[],[],[],5702023259682686520,18
79,Y,T,False,incomplete_derivation,,[],[],[],4496170733971521079,24
80,O,B,False,incomplete_derivation,,[],[],[],17348422111386544545,13
79,Y,X,False,incomplete_derivation,,[],[],[],7357374674572394125,18
79,Y,S,False,incomplete_derivation,,[],[],[],17664259640906665276,29
80,O,A,False,incomplete_derivation,,[],[],[],4867380929095838156,18
79,Y,Z,False,incomplete_derivation,,[],[],[],7354660774615265294,19
80,O,E,False,incomplete_derivation,,[],[],[],11248752890026318737,13
80,O,D,False,incomplete_derivation,,[],[],[],13914409486019391996,18
80,O,G,False,incomplete_derivation,,[],[],[],5188629166745075784,16
80,O,F,False,incomplete_derivation,,[],[],[],7153198564960371381,19
80,O,C,False,incomplete_derivation,,[],[],[],8238408489035096688,27
80,O,H,False,incomplete_derivation,,[],[],[],16574804928523880402,20
80,O,I,False,incomplete_derivation,,[],[],[],11868013281381687729,19
80,O,J,False,incomplete_derivation,,[],[],[],13360767192344906502,19
80,O,K,False,incomplete_derivation,,[],[],[],10269054140296428822,19
80,O,L,False,incomplete_derivation,,[],[],[],16040047328965599739,16
80,O,M,False,incomplete_derivation,,[],[],[],17145772738268172350,21
80,O,N,False,incomplete_derivation,,[],[],[],6946733453838297938,19
80,O,R,False,incomplete_derivation,,[],[],[],17939323884507474915,18
80,O,T,False,incomplete_derivation,,[],[],[],1138825401422418625,17
80,O,Q,False,incomplete_derivation,,[],[],[],11476236026020501719,25
80,O,U,False,incomplete_derivation,,[],[],[],1725624783187526787,19
80,O,P,False,incomplete_derivation,,[],[],[],14924962448950614411,29
80,O,S,False,incomplete_derivation,,[],[],[],15571300024557283874,26
80,O,V,False,incomplete_derivation,,[],[],[],494180558735354709,15
80,O,Z,False,incomplete_derivation,,[],[],[],9004800516389323214,13
80,O,W,False,incomplete_derivation,,[],[],[],879455735546949775,23
80,O,X,False,incomplete_derivation,,[],[],[],11612088217317913391,22
81,F,A,False,incomplete_derivation,,[],[],[],8666319147347378949,19
80,O,Y,False,incomplete_derivation,,[],[],[],2833507181738671762,23
81,F,D,False,incomplete_derivation,,[],[],[],14475396488561308589,15
81,F,C,False,incomplete_derivation,,[],[],[],15195243882483645279,19
81,F,E,False,incomplete_derivation,,[],[],[],15708236757883228571,15
81,F,B,False,incomplete_derivation,,[],[],[],2956449420123311064,27
81,F,I,False,incomplete_derivation,,[],[],[],3553489392145312372,13
81,F,K,False,incomplete_derivation,,[],[],[],6538911203016530594,13
81,F,G,False,incomplete_derivation,,[],[],[],5443550169931401038,22
81,F,H,False,incomplete_derivation,,[],[],[],8015061804222783342,22
81,F,M,False,incomplete_derivation,,[],[],[],15058074903235421679,16
81,F,J,False,incomplete_derivation,,[],[],[],15036397015832558852,22
81,F,L,False,incomplete_derivation,,[],[],[],13056555514447298651,22
81,F,P,False,incomplete_derivation,,[],[],[],10579165711124252159,16
81,F,Q,False,incomplete_derivation,,[],[],[],4264809162166815290,14
81,F,O,False,incomplete_derivation,,[],[],[],10790784015560310977,19
81,F,N,False,incomplete_derivation,,[],[],[],10864230454534066053,24
81,F,S,False,incomplete_derivation,,[],[],[],6246459218250840892,16
81,F,R,False,incomplete_derivation,,[],[],[],7891775778093470106,19
81,F,T,False,incomplete_derivation,,[],[],[],7520859351210111928,23
81,F,U,False,incomplete_derivation,,[],[],[],4775101097886460690,23
81,F,Y,False,incomplete_derivation,,[],[],[],13072052535679875051,16
81,F,X,False,incomplete_derivation,,[],[],[],7279247740021740055,17
81,F,V,False,incomplete_derivation,,[],[],[],17077370708344778272,19
81,F,W,False,incomplete_derivation,,[],[],[],7413629861315985199,21
82,A,B,False,incomplete_derivation,,[],[],[],10310330208646724602,15
81,F,Z,False,incomplete_derivation,,[],[],[],14219620597272309612,19
82,A,C,False,incomplete_derivation,,[],[],[],12057057583351536015,17
82,A,D,False,incomplete_derivation,,[],[],[],17706125455753035904,17
82,A,E,False,incomplete_derivation,,[],[],[],5607546713817896440,17
82,A,F,False,incomplete_derivation,,[],[],[],8099733393034332551,19
82,A,I,False,incomplete_derivation,,[],[],[],465464630563210911,15
82,A,G,False,incomplete_derivation,,[],[],[],5347616318506012650,22
82,A,J,False,incomplete_derivation,,[],[],[],8055213337935184451,19
82,A,K,False,incomplete_derivation,,[],[],[],8798396069072031018,16
82,A,L,False,incomplete_derivation,,[],[],[],17599667538835578727,15
82,A,H,False,incomplete_derivation,,[],[],[],6411929431589331309,30
82,A,N,False,incomplete_derivation,,[],[],[],11703816813559671970,14
82,A,P,False,incomplete_derivation,,[],[],[],15331484391703578961,13
82,A,R,False,incomplete_derivation,,[],[],[],11787561173597373680,13
82,A,S,False,incomplete_derivation,,[],[],[],12234559618863210739,13
82,A,U,False,incomplete_derivation,,[],[],[],17116550303734714864,13
82,A,M,False,incomplete_derivation,,[],[],[],6507531289638586139,30
82,A,O,False,incomplete_derivation,,[],[],[],14401956458511967695,27
82,A,V,False,incomplete_derivation,,[],[],[],15794838990694125719,15
82,A,Q,False,incomplete_derivation,,[],[],[],17346045274276012635,23
82,A,T,False,incomplete_derivation,,[],[],[],3331964742592447077,22
82,A,X,False,incomplete_derivation,,[],[],[],12820631532136014613,13
82,A,Y,False,incomplete_derivation,,[],[],[],7698611239116652544,16
83,N,C,False,incomplete_derivation,,[],[],[],18047018595262115633,13
83,N,A,False,incomplete_derivation,,[],[],[],4692824837117411654,19
82,A,W,False,incomplete_derivation,,[],[],[],1054013352419343963,24
83,N,D,False,incomplete_derivation,,[],[],[],8011701367744202534,14
82,A,Z,False,incomplete_derivation,,[],[],[],8821802731129253095,23
83,N,B,False,incomplete_derivation,,[],[],[],1746292537051776378,20
83,N,E,False,incomplete_derivation,,[],[],[],8250482592519943281,15
83,N,F,False,incomplete_derivation,,[],[],[],4715686600373274085,16
83,N,G,False,incomplete_derivation,,[],[],[],17790183496595408681,18
83,N,K,False,incomplete_derivation,,[],[],[],3583964873124350900,16
83,N,L,False,incomplete_derivation,,[],[],[],17715364735118748108,15
83,N,I,False,incomplete_derivation,,[],[],[],14358873413930337249,18
83,N,J,False,incomplete_derivation,,[],[],[],6569775702626949593,21
83,N,O,False,incomplete_derivation,,[],[],[],16498983235668024367,13
83,N,H,False,incomplete_derivation,,[],[],[],5926068835765876847,26
83,N,P,False,incomplete_derivation,,[],[],[],8403907842317177557,15
83,N,Q,False,incomplete_derivation,,[],[],[],13010632110355711161,14
83,N,M,False,incomplete_derivation,,[],[],[],2856509038385816824,28
83,N,R,False,incomplete_derivation,,[],[],[],15908271204743376447,18
83,N,T,False,incomplete_derivation,,[],[],[],12170067695450942156,15
83,N,U,False,incomplete_derivation,,[],[],[],10064112722127586090,14
83,N,S,False,incomplete_derivation,,[],[],[],7451197095468934411,23
83,N,W,False,incomplete_derivation,,[],[],[],3098657817476537718,18
83,N,Y,False,incomplete_derivation,,[],[],[],939845307441431836,16
83,N,X,False,incomplete_derivation,,[],[],[],1142139659805732090,18
83,N,Z,False,incomplete_derivation,,[],[],[],11697952008575512003,14
83,N,V,False,incomplete_derivation,,[],[],[],9099007961926733976,28
84,A,D,False,incomplete_derivation,,[],[],[],2549413874408750829,13
84,A,C,False,incomplete_derivation,,[],[],[],382831266451839080,22
84,A,B,False,incomplete_derivation,,[],[],[],835445167199709632,24
84,A,F,False,incomplete_derivation,,[],[],[],7976698025813400194,16
84,A,E,False,incomplete_derivation,,[],[],[],18101336942903870085,19
84,A,J,False,incomplete_derivation,,[],[],[],1612554339305750896,15
84,A,H,False,incomplete_derivation,,[],[],[],5473038619568469757,19
84,A,G,False,incomplete_derivation,,[],[],[],8491898058879588753,24
84,A,I,False,incomplete_derivation,,[],[],[],14277735634357625398,22
84,A,L,False,incomplete_derivation,,[],[],[],5654371673661478472,15
84,A,M,False,incomplete_derivation,,[],[],[],3843198269860318987,13
84,A,N,False,incomplete_derivation,,[],[],[],3431060697320424456,13
84,A,P,False,incomplete_derivation,,[],[],[],597705755495013641,13
84,A,K,False,incomplete_derivation,,[],[],[],10664983542368534514,25
84,A,T,False,incomplete_derivation,,[],[],[],2999123113132526443,14
84,A,O,False,incomplete_derivation,,[],[],[],11405417812166062124,23
