label,route_id,lawful,near_cov,near_fwords,near_hasverb,flint_pass,generic_pass,cadence_pass,holm_adj_p_cov,holm_adj_p_fw,publishable,failure_stage,notes
HEAD_66_B,NA,False,0.8947368421052632,10,True,False,False,False,1.0,1.0,False,lawfulness,No GRID route found
HEAD_147_B,GRID_W14_ROWS,True,0.8947368421052632,10,True,True,True,False,0.0006,0.0005,True,,PUBLISHED
