campaign,label,delta_vs_windowed,delta_vs_shuffled,distance_windowed,distance_shuffled,combined_distance
C7,ASMKL_096,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_097,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_098,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_099,0.0,0.0,0.05,0.1,0.1118033988749895
C8,CDEA_055,0.0,0.0,0.05,0.1,0.1118033988749895
C8,CDEA_073,0.0,0.0,0.05,0.1,0.1118033988749895
C8,CDEA_074,0.0,0.0,0.05,0.1,0.1118033988749895
C8,CDEA_091,0.0,0.0,0.05,0.1,0.1118033988749895
C8,CDEA_092,0.0,0.0,0.05,0.1,0.1118033988749895
C8,CDEA_093,0.0,0.0,0.05,0.1,0.1118033988749895
C8,CDEA_094,0.0,0.0,0.05,0.1,0.1118033988749895
C9,C9_000,0.0,0.0,0.05,0.1,0.1118033988749895
C9,C9_001,0.0,0.0,0.05,0.1,0.1118033988749895
