control_type,modification,score,coverage,ngram,compress,delta_from_original,ratio_to_original
original,none,0.24216666666666664,0.7583333333333333,0.03666666666666667,0.0,0.0,1.0
scrambled_anchors,anchors_permuted,0.1674,0.5233333333333333,0.025999999999999992,0.0,-0.07476666666666665,0.6912594631796284
permuted_seam,seam_at_74,0.22563333333333332,0.705,0.035333333333333335,0.0,-0.016533333333333317,0.9317274604267034
anchor_free,no_anchor_scoring,0.24216666666666664,0.7583333333333333,0.03666666666666667,0.0,0.0,1.0
random_shuffle,complete_shuffle,0.018433333333333333,0.051666666666666666,0.007333333333333334,0.0,-0.2237333333333333,0.07611837577426016
