label,delta_vs_windowed,delta_vs_shuffled,pass_deltas,p_value,pass_nulls,tie_rate,pass_orbits
ASMKL_000,0.0,0.0,False,,,,
ASMKL_001,0.0,0.0,False,,,,
ASMKL_002,0.0,-0.029999999999999916,False,,,,
ASMKL_003,0.0,0.0,False,,,,
ASMKL_004,0.0,0.0,False,,,,
ASMKL_005,0.0,0.0,False,,,,
ASMKL_006,0.0,0.0,False,,,,
ASMKL_007,0.0,0.0,False,,,,
ASMKL_008,0.0,0.0,False,,,,
ASMKL_009,0.0,0.0,False,,,,
ASMKL_010,0.0,0.0,False,,,,
ASMKL_011,0.0,0.0,False,,,,
ASMKL_012,0.0,0.0,False,,,,
ASMKL_013,0.0,0.0,False,,,,
ASMKL_014,0.0,0.0,False,,,,
ASMKL_015,0.0,0.0,False,,,,
ASMKL_016,0.0,0.0,False,,,,
ASMKL_017,0.0,0.0,False,,,,
ASMKL_018,0.0,0.0,False,,,,
ASMKL_019,0.0,0.0,False,,,,
ASMKL_020,0.0,0.0,False,,,,
ASMKL_021,0.0,0.0,False,,,,
ASMKL_022,0.0,0.0,False,,,,
ASMKL_023,0.0,0.0,False,,,,
ASMKL_024,0.0,0.0,False,,,,
ASMKL_025,0.0,0.0,False,,,,
ASMKL_026,0.0,0.0,False,,,,
ASMKL_027,0.0,0.0,False,,,,
ASMKL_028,0.0,0.0,False,,,,
ASMKL_029,0.0,0.0,False,,,,
ASMKL_030,0.0,0.0,False,,,,
ASMKL_031,-0.08000000000000002,-0.08000000000000002,False,,,,
ASMKL_032,0.0,0.0,False,,,,
ASMKL_033,0.0,-0.010000000000000009,False,,,,
ASMKL_034,0.0,0.0,False,,,,
ASMKL_035,0.0,0.0,False,,,,
ASMKL_036,0.0,0.0,False,,,,
ASMKL_037,0.0,0.0,False,,,,
ASMKL_038,0.0,0.0,False,,,,
ASMKL_039,0.0,0.0,False,,,,
ASMKL_040,0.0,0.0,False,,,,
ASMKL_041,0.0,0.0,False,,,,
ASMKL_042,0.0,0.0,False,,,,
ASMKL_043,0.0,0.0,False,,,,
ASMKL_044,0.0,0.0,False,,,,
ASMKL_045,0.0,0.0,False,,,,
ASMKL_046,0.0,-0.049999999999999996,False,,,,
ASMKL_047,0.0,0.0,False,,,,
ASMKL_048,0.0,0.0,False,,,,
ASMKL_049,0.0,0.0,False,,,,
ASMKL_050,0.0,0.0,False,,,,
ASMKL_051,0.0,0.0,False,,,,
ASMKL_052,0.0,0.0,False,,,,
ASMKL_053,0.0,0.0,False,,,,
ASMKL_054,0.0,0.0,False,,,,
ASMKL_055,0.0,0.0,False,,,,
ASMKL_056,0.0,0.0,False,,,,
ASMKL_057,0.0,0.0,False,,,,
ASMKL_058,0.0,0.0,False,,,,
ASMKL_059,0.0,0.0,False,,,,
ASMKL_060,0.0,0.0,False,,,,
ASMKL_061,0.0,0.0,False,,,,
ASMKL_062,0.0,0.0,False,,,,
ASMKL_063,0.0,0.0,False,,,,
ASMKL_064,0.0,0.0,False,,,,
ASMKL_065,0.0,0.0,False,,,,
ASMKL_066,0.0,0.0,False,,,,
ASMKL_067,0.0,-0.030000000000000027,False,,,,
ASMKL_068,0.0,0.0,False,,,,
ASMKL_069,0.0,0.0,False,,,,
ASMKL_070,0.0,-0.029999999999999992,False,,,,
ASMKL_071,0.0,0.0,False,,,,
ASMKL_072,0.0,-0.04000000000000001,False,,,,
ASMKL_073,0.0,0.0,False,,,,
ASMKL_074,0.0,0.0,False,,,,
ASMKL_075,0.0,0.0,False,,,,
ASMKL_076,0.0,0.0,False,,,,
ASMKL_077,0.0,0.0,False,,,,
ASMKL_078,0.0,-0.010000000000000009,False,,,,
ASMKL_079,0.0,0.0,False,,,,
ASMKL_080,0.0,0.0,False,,,,
ASMKL_081,0.0,0.0,False,,,,
ASMKL_082,0.0,0.0,False,,,,
ASMKL_083,0.0,0.0,False,,,,
ASMKL_084,0.0,0.0,False,,,,
ASMKL_085,0.0,0.0,False,,,,
ASMKL_086,0.0,0.0,False,,,,
ASMKL_087,0.0,0.0,False,,,,
ASMKL_088,0.0,-0.020000000000000018,False,,,,
ASMKL_089,0.0,0.0,False,,,,
ASMKL_090,0.0,0.0,False,,,,
ASMKL_091,0.0,0.0,False,,,,
ASMKL_092,0.0,0.0,False,,,,
ASMKL_093,0.0,0.0,False,,,,
ASMKL_094,0.0,0.0,False,,,,
ASMKL_095,0.0,0.0,False,,,,
ASMKL_096,0.0,0.0,False,,,,
ASMKL_097,0.0,0.0,False,,,,
ASMKL_098,0.0,0.0,False,,,,
ASMKL_099,0.0,0.0,False,,,,
