label,category,mode,score_norm,anchor_score,z_ngram,z_coverage,z_compress
CORRIDOR_PERFECT_000,PERFECT,fixed,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_000,PERFECT,r1,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_000,PERFECT,r2,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_000,PERFECT,r3,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_000,PERFECT,r4,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_000,PERFECT,shuffled,-0.2298023466794139,0.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_001,PERFECT,fixed,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_001,PERFECT,r1,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_001,PERFECT,r2,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_001,PERFECT,r3,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_001,PERFECT,r4,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_001,PERFECT,shuffled,-0.2298023466794139,0.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_002,PERFECT,fixed,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_002,PERFECT,r1,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_002,PERFECT,r2,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_002,PERFECT,r3,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_002,PERFECT,r4,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_002,PERFECT,shuffled,-0.2298023466794139,0.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_003,PERFECT,fixed,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_003,PERFECT,r1,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_003,PERFECT,r2,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_003,PERFECT,r3,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_003,PERFECT,r4,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_003,PERFECT,shuffled,-0.2298023466794139,0.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_004,PERFECT,fixed,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_004,PERFECT,r1,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_004,PERFECT,r2,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_004,PERFECT,r3,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_004,PERFECT,r4,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_004,PERFECT,shuffled,-0.2298023466794139,0.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_005,PERFECT,fixed,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_005,PERFECT,r1,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_005,PERFECT,r2,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_005,PERFECT,r3,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_005,PERFECT,r4,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_005,PERFECT,shuffled,-0.2298023466794139,0.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_006,PERFECT,fixed,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_006,PERFECT,r1,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_006,PERFECT,r2,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_006,PERFECT,r3,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_006,PERFECT,r4,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_006,PERFECT,shuffled,-0.2298023466794139,0.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_007,PERFECT,fixed,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_007,PERFECT,r1,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
