label,n,ic,bigrams,trigrams,kasiski,p_ic,p_bi,p_tri,p_kas,p_raw,best_stat,p_adj
perimeter,455,0.04702522147456068,96,13,17,0.9100899100899101,0.000999000999000999,0.02097902097902098,0.004995004995004995,0.000999000999000999,bigram,0.003996003996003996
paired_alternation,234,0.046916840908257214,33,4,4,0.7402597402597403,0.9310689310689311,0.3336663336663337,0.35564435564435565,0.3336663336663337,trigram,1.0
